835,score,p-value
2741: Merchandise trade-Exports-Iron and steel (US dollar at current prices) - WTO,96.201248628647306,3.8692892269029323e-22
1385: Manufactures exports  (% of merchandise exports) - WDI,95.623346255050635,5.1020731913529058e-22
1370: Merchandise imports by the reporting economy; residual  (% of total merchandise imports) - WDI,95.116663133312287,6.5027438218166906e-22
2799: Balance of Payments-Exports-Government goods and services n.i.e. (US dollar at current prices) - WTO,93.503261407845628,1.4086040193199782e-21
0878: Compulsory education; duration  (years) - WDI,92.318936741630736,2.4856024075486089e-21
0026: Food production index  (2004-2006 = 100) - WDI,88.400579842249641,1.6324250615333879e-20
0070: Travel services  (% of service exports; BoP) - WDI,87.575449869668574,2.4279233714260254e-20
2814: Balance of Payments-Imports-Construction (US dollar at current prices) - WTO,84.326913012578743,1.1612230313682336e-19
1974: Total expenditure on health as a percentage of gross domestic product - WHO,80.582625436981644,7.0826762680051842e-19
0881: School enrollment; secondary (gross); gender parity index  (GPI) - WDI,80.059816761508571,9.1202600355601746e-19
0904: Gross intake ratio in first grade of primary education; total  (% of relevant age group) - WDI,79.891301240952686,9.8948787711657405e-19
2807: Balance of Payments-Imports-Government goods and services n.i.e. (US dollar at current prices) - WTO,79.799324806105631,1.0345118640059554e-18
0897: Primary education; pupils  (% female) - WDI,78.747611930495992,1.7210661523226838e-18
0067: Charges for the use of intellectual property; receipts  (BoP; current US$) - WDI,78.499450928547418,1.9408097836873304e-18
1327: Merchandise trade  (% of GDP) - WDI,78.248660357548175,2.1914452792814976e-18
0224: Average interest on new external debt commitments; private  (%) - WDI,77.106666002473858,3.8110055199449124e-18
0030: Trade in services  (% of GDP) - WDI,76.898809378511146,4.2150199704919458e-18
0010: Permanent cropland  (% of land area) - WDI,76.590185846166435,4.8953765724865482e-18
2793: Balance of Payments-Exports-Charges for the use of intellectual property n.i.e. (US dollar at current prices) - WTO,75.671016431137332,7.6457367418103167e-18
0256: Average maturity on new external debt commitments; private  (years) - WDI,74.91381242247364,1.1041515484419859e-17
0196: Multilateral debt  (% of total external debt) - WDI,74.046206349905276,1.6827383893241816e-17
0221: Average grant element on new external debt commitments; private  (%) - WDI,72.913670131088239,2.9177940679149472e-17
0769: Adjusted savings: mineral depletion  (% of GNI) - WDI,71.96226870431633,4.6346230971067096e-17
0043: Secondary income; other sectors; payments  (BoP; current US$) - WDI,71.492048592105249,5.8262423358444567e-17
0025: Crop production index  (2004-2006 = 100) - WDI,70.615637625156481,8.9268302283047922e-17
0062: Primary income receipts  (BoP; current US$) - WDI,68.718583647244287,2.250222921229228e-16
0770: Adjusted savings: energy depletion  (current US$) - WDI,66.999003555753291,5.2081778875304782e-16
0177: Concessional debt  (% of total external debt) - WDI,66.965017010006306,5.2953414204957767e-16
2815: Balance of Payments-Imports-Insurance and pension services (US dollar at current prices) - WTO,66.79846416136769,5.7440819456553055e-16
0041: Foreign direct investment; net outflows  (BoP; current US$) - WDI,66.791006014553489,5.765044195852687e-16
0847: Net current transfers from abroad  (current US$) - WDI,66.5129694712831,6.6036781522305123e-16
0777: Adjusted savings: net national savings  (% of GNI) - WDI,64.751517418033814,1.5622755142474794e-15
0799: Mineral rents  (% of GDP) - WDI,64.528336728297575,1.7425181066617906e-15
0840: Gross savings  (% of GDP) - WDI,64.519679022351568,1.7499151332657097e-15
1153: Employment to population ratio; 15+; total (%)  (national estimate) - WDI,64.112248229777322,2.1360261461374732e-15
0837: Gross savings  (current US$) - WDI,63.324414033640913,3.1413777974879487e-15
0785: Adjusted net savings; including particulate emission damage  (% of GNI) - WDI,63.085852650309924,3.5307331459459301e-15
0042: Foreign direct investment; net outflows  (% of GDP) - WDI,62.319493064185451,5.1397641051204375e-15
1399: Merchandise exports to low- and middle-income economies within region  (% of total merchandise exports) - WDI,62.246611674266433,5.326687643769165e-15
0037: Charges for the use of intellectual property; payments  (BoP; current US$) - WDI,62.111982037135135,5.6900726175003776e-15
0150: Currency composition of PPG debt; Multiple currencies  (%) - WDI,62.048067581304743,5.8711785883862015e-15
0748: Industry; value added  (% of GDP) - WDI,61.229934512542599,8.7693727347943158e-15
1372: Merchandise imports from low- and middle-income economies within region  (% of total merchandise imports) - WDI,60.807791474674133,1.0787479175953962e-14
0044: Personal remittances; paid  (current US$) - WDI,60.250509270483789,1.4181242763900002e-14
1254: Unemployment; female (% of female labor force)  (national estimate) - WDI,60.228184119275134,1.4337532070435034e-14
0944: Secondary education; pupils  (% female) - WDI,59.883775697965184,1.6979278622214312e-14
