2707,score,p-value
1341: Tariff rate; most favored nation; simple mean; all products  (%) - WDI,309.39372925396032,8.9975978181685134e-63
2732: Merchandise trade-Imports-Pharmaceuticals (US dollar at current prices) - WTO,307.43120661059515,2.0182180432300226e-62
1389: Merchandise exports to high-income economies  (% of total merchandise exports) - WDI,303.93545668260299,8.5293740168557319e-62
2822: Balance of Payments-Imports-Other business services (US dollar at current prices) - WTO,300.62340587472181,3.3509875948445139e-61
1335: Tariff rate; applied; weighted mean; manufactured products  (%) - WDI,299.02635913210361,6.4883943289458089e-61
1339: Share of tariff lines with international peaks; all products  (%) - WDI,294.31752396753944,4.5691329329644204e-60
0946: Secondary education; general pupils  (% female) - WDI,290.93975404865517,1.8594282385113082e-59
0062: Primary income receipts  (BoP; current US$) - WDI,288.63498158024549,4.8529129895748125e-59
0059: ICT service exports  (BoP; current US$) - WDI,284.67907033726368,2.52603663038027e-58
0921: Repeaters; primary; female  (% of female enrollment) - WDI,278.63734949627536,3.1617472693970447e-57
2720: Merchandise trade-Exports-Agricultural products (US dollar at current prices) - WTO,275.13676955592825,1.3729284066824729e-56
2804: Balance of Payments-Imports-Other commercial services (US dollar at current prices) - WTO,274.62281384536931,1.7036956691584996e-56
1311: Rural population growth  (annual %) - WDI,271.61630283791186,6.0305570498714567e-56
1093: Incidence of tuberculosis  (per 100;000 people) - WDI,269.91097445522763,1.23646817322969e-55
2818: Balance of Payments-Imports-Telecommunications; computer; and information services (US dollar at current prices) - WTO,269.53814644333283,1.4467683362245433e-55
2721: Merchandise trade-Exports-Food (US dollar at current prices) - WTO,269.46858081724127,1.4898037991395886e-55
0923: Repeaters; primary; total  (% of total enrollment) - WDI,268.97091716886217,1.8374443277715086e-55
0068: Exports of goods; services and primary income  (BoP; current US$) - WDI,267.75485354410949,3.068322043384547e-55
1095: External resources for health  (% of total expenditure on health) - WDI,266.1318915165516,6.0863445898102485e-55
0941: Lower secondary completion rate; total  (% of relevant age group) - WDI,265.40263866512242,8.2815097175316588e-55
0939: Lower secondary completion rate; female  (% of relevant age group) - WDI,263.58433115357923,1.785938808557999e-54
2823: Balance of Payments-Imports-Personal; cultural; and recreational services (US dollar at current prices) - WTO,263.20450508819692,2.0971615460266798e-54
0922: Repeaters; primary; male  (% of male enrollment) - WDI,262.13101464250087,3.3028970197947952e-54
0037: Charges for the use of intellectual property; payments  (BoP; current US$) - WDI,261.43579411002088,4.4331963023798446e-54
0038: Imports of goods; services and primary income  (BoP; current US$) - WDI,261.36697071465051,4.5642945250611536e-54
0039: Transport services  (% of service imports; BoP) - WDI,259.19821740435509,1.1441508259329637e-53
0892: Primary completion rate; female  (% of relevant age group) - WDI,257.85026229859068,2.0268018230768892e-53
1974: Total expenditure on health as a percentage of gross domestic product - WHO,257.73111187998387,2.1319241190050843e-53
2726: Merchandise trade-Imports-Food (US dollar at current prices) - WTO,257.47938073294438,2.3723199561703206e-53
0940: Lower secondary completion rate; male  (% of relevant age group) - WDI,255.27238153372758,6.0575378722119411e-53
2806: Balance of Payments-Imports-Other services (US dollar at current prices) - WTO,254.20184554096386,9.5493965829718654e-53
0894: Primary completion rate; total  (% of relevant age group) - WDI,253.28604900828827,1.4098916644511559e-52
1325: International tourism; expenditures  (current US$) - WDI,251.77216533221585,2.6860392397805078e-52
1324: International tourism; expenditures for travel items  (current US$) - WDI,244.83973686739901,5.1797803317488739e-51
1922: Private expenditure on health as a percentage of total expenditure on health - WHO,242.31937486346297,1.5238060246257869e-50
1348: Tariff rate; applied; simple mean; primary products  (%) - WDI,241.18118190758827,2.4819778070859896e-50
2731: Merchandise trade-Imports-Chemicals (US dollar at current prices) - WTO,240.52798688537655,3.2843862476786021e-50
0720: Imports of goods and services  (current US$) - WDI,239.85137851754035,4.3905953160232925e-50
1994: General government expenditure on health as a percentage of total expenditure on health - WHO,237.05121217988767,1.4616065191771319e-49
0063: Exports of goods and services  (BoP; current US$) - WDI,236.82236639477557,1.6127117956381917e-49
2795: Balance of Payments-Exports-Other business services (US dollar at current prices) - WTO,236.61294518098276,1.7646629557341247e-49
2736: Merchandise trade-Imports-Transport equipment (US dollar at current prices) - WTO,236.24203016961002,2.0698310416307018e-49
0893: Primary completion rate; male  (% of relevant age group) - WDI,234.09136945731686,5.2229387431473507e-49
0948: Pupil-teacher ratio; secondary - WDI,233.16617479024566,7.780535857970585e-49
0906: School enrollment; primary; female  (% net) - WDI,231.02200457277448,1.9613177180501812e-48
0879: School enrollment; primary (gross); gender parity index  (GPI) - WDI,229.96547341504436,3.09458952263933e-48
1313: Urban population growth  (annual %) - WDI,228.38245780000852,6.1319395451310427e-48
2816: Balance of Payments-Imports-Financial services (US dollar at current prices) - WTO,227.96441169483131,7.3464616503786894e-48
0033: Imports of goods and services  (BoP; current US$) - WDI,226.70108905096933,1.2687291718764854e-47
0722: Imports of goods and services  (constant 2005 US$) - WDI,226.47945093339283,1.3964288611812323e-47
2739: Merchandise trade-Imports-Clothing (US dollar at current prices) - WTO,226.01932050026716,1.704136495092934e-47
1269: Prevalence of undernourishment  (% of population) - WDI,223.90518075933966,4.2579255976708526e-47
0905: School enrollment; primary  (% net) - WDI,223.11412310202371,5.9998642388175951e-47
0798: Forest rents  (% of GDP) - WDI,221.45843324713837,1.2306145947098673e-46
1185: Employment in services  (% of total employment) - WDI,221.00811021120057,1.4963482094188006e-46
1352: Tariff rate; most favored nation; weighted mean; primary products  (%) - WDI,220.87309316829339,1.5867024971689764e-46
1319: International tourism; receipts  (current US$) - WDI,218.38320665364506,4.68223466432294e-46
1347: Share of tariff lines with international peaks; primary products  (%) - WDI,218.1191112058988,5.2522309713721737e-46
1323: International tourism; receipts for travel items  (current US$) - WDI,217.78226074562056,6.0812217284202162e-46
2730: Merchandise trade-Imports-Iron and steel (US dollar at current prices) - WTO,216.47571175505107,1.073961426731793e-45
0934: Children out of school; female  (% of female primary school age) - WDI,216.17980108036534,1.2216811709466564e-45
0930: Adjusted net enrollment rate; primary; female  (% of primary school age children) - WDI,215.87053372095201,1.397863094630572e-45
2725: Merchandise trade-Imports-Agricultural products (US dollar at current prices) - WTO,215.64993018342034,1.5388813292540722e-45
2729: Merchandise trade-Imports-Manufactures (US dollar at current prices) - WTO,213.18456848956089,4.508956577459282e-45
0041: Foreign direct investment; net outflows  (BoP; current US$) - WDI,211.76718774255863,8.3718346236395137e-45
2789: Balance of Payments-Exports-Other commercial services (US dollar at current prices) - WTO,210.84046818861037,1.2550588732518556e-44
2737: Merchandise trade-Imports-Automotive products (US dollar at current prices) - WTO,210.62838127306131,1.3769616991689008e-44
2817: Balance of Payments-Imports-Charges for the use of intellectual property n.i.e. (US dollar at current prices) - WTO,210.54018158123367,1.4310845446066677e-44
1270: Depth of the food deficit  (kilocalories per person per day) - WDI,209.92528299447733,1.8724967823255493e-44
2781: Merchandise trade-Imports-Total merchandise (US dollar at current prices) - WTO,206.53236464449392,8.2696750414582188e-44
0947: Pupil-teacher ratio; lower secondary - WDI,206.32641437072948,9.0508465407384363e-44
2798: Balance of Payments-Exports-Other services (US dollar at current prices) - WTO,206.14790990754622,9.7874619541375733e-44
0937: Children out of school  (% of primary school age) - WDI,206.12855448096167,9.8708579883970136e-44
1361: Merchandise imports  (current US$) - WDI,206.09961966213959,9.9968573827244585e-44
1371: Merchandise imports by the reporting economy  (current US$) - WDI,205.86166809368862,1.1096050997984581e-43
0929: Adjusted net enrollment rate; primary  (% of primary school age children) - WDI,205.8431233135415,1.1186637893128725e-43
2780: Merchandise trade-Exports-Total merchandise (US dollar at current prices) - WTO,203.45935747012379,3.1838001224067389e-43
1388: Merchandise exports  (current US$) - WDI,203.16116462203769,3.6292582593922688e-43
2803: Balance of Payments-Imports-Travel (US dollar at current prices) - WTO,202.57568334206104,4.6936862179081102e-43
2802: Balance of Payments-Imports-Transport (US dollar at current prices) - WTO,202.23757776432751,5.4454764435985582e-43
1322: International tourism; expenditures for passenger transport items  (current US$) - WDI,200.43481768610584,1.2030950715868631e-42
0035: Goods imports  (BoP; current US$) - WDI,199.86330427935673,1.5471147965356697e-42
1398: Merchandise exports by the reporting economy  (current US$) - WDI,199.58863240643268,1.7459416699602786e-42
1963: Private prepaid plans as a percentage of private expenditure on health - WHO,198.49458850710366,2.8265926478933359e-42
2750: Merchandise trade-Exports-Automotive products (US dollar at current prices) - WTO,198.48249734689887,2.8416884290744473e-42
2749: Merchandise trade-Exports-Transport equipment (US dollar at current prices) - WTO,198.16308780715525,3.2710802480639247e-42
0065: Goods exports  (BoP; current US$) - WDI,196.7875235130837,5.9983425050596202e-42
0973: Secondary education; teachers  (% female) - WDI,194.41809397044747,1.7068232722953473e-41
0907: School enrollment; primary; male  (% net) - WDI,193.27992130104161,2.8222436845099714e-41
0882: School enrollment; tertiary (gross); gender parity index  (GPI) - WDI,192.30532969597809,4.3424911047066383e-41
1148: Self-employed; total  (% of total employed) - WDI,190.63879531938446,9.0787799816076858e-41
0878: Compulsory education; duration  (years) - WDI,189.59750525717362,1.4398850121187542e-40
0976: Adolescents out of school  (% of lower secondary school age) - WDI,189.02851683766445,1.8528260467141819e-40
0880: School enrollment; primary and secondary (gross); gender parity index  (GPI) - WDI,186.49359749929903,5.7042255226251244e-40
1317: International tourism; number of arrivals - WDI,185.37363429735353,9.3803663709446164e-40
2788: Balance of Payments-Exports-Travel (US dollar at current prices) - WTO,185.29967341347282,9.6937375044480216e-40
0055: Net secondary income  (BoP; current US$) - WDI,184.46715528921396,1.4033991927925722e-39
1321: International tourism; receipts for passenger transport items  (current US$) - WDI,182.84693359734169,2.8851123025201887e-39
1215: Labor force participation rate; male (% of male population ages 15+)  (modeled ILO estimate) - WDI,182.18558551417439,3.8726865300110008e-39
1404: High-technology exports  (% of manufactured exports) - WDI,182.09804372558818,4.0266121195864632e-39
0936: Children out of school; male  (% of male primary school age) - WDI,179.41448324912412,1.3314275532554903e-38
1385: Manufactures exports  (% of merchandise exports) - WDI,178.44546111022612,2.0515791807023543e-38
0931: Adjusted net enrollment rate; primary; male  (% of primary school age children) - WDI,178.0828437215192,2.4120414077037167e-38
0057: Grants; excluding technical cooperation  (BoP; current US$) - WDI,177.81454076319173,2.7189949847549268e-38
2819: Balance of Payments-Imports-Telecommunications services (US dollar at current prices) - WTO,174.80956008374542,1.0416011075901916e-37
1369: Merchandise imports from low- and middle-income economies in Sub-Saharan Africa  (% of total merchandise imports) - WDI,174.68870749657114,1.0994721787770521e-37
1160: Wage and salaried workers; total  (% of total employed) - WDI,174.54615321646955,1.1718885708960032e-37
2733: Merchandise trade-Imports-Machinery and transport equipment (US dollar at current prices) - WTO,172.45180475496232,2.9934754252225374e-37
0029: Cereal yield  (kg per hectare) - WDI,171.51858275252093,4.5482307018123503e-37
2728: Merchandise trade-Imports-Fuels (US dollar at current prices) - WTO,165.97387853200883,5.4896025111719349e-36
2741: Merchandise trade-Exports-Iron and steel (US dollar at current prices) - WTO,165.498569739282,6.7991390541578495e-36
2752: Merchandise trade-Imports-Electronic data processing and office equipment (US dollar at current prices) - WTO,162.9639462891711,2.1302002389985368e-35
1074: People practicing open defecation; urban  (% of urban population) - WDI,162.36383044613535,2.7923680818005926e-35
0881: School enrollment; secondary (gross); gender parity index  (GPI) - WDI,161.74426977777691,3.6930362894608749e-35
1354: Food imports  (% of merchandise imports) - WDI,160.82895498102116,5.5826960749094699e-35
0765: Adjusted savings: net forest depletion  (% of GNI) - WDI,159.71150968782837,9.2487920494527104e-35
0064: Insurance and financial services  (% of service exports; BoP) - WDI,159.64247668404258,9.5418943103522942e-35
2792: Balance of Payments-Exports-Financial services (US dollar at current prices) - WTO,159.11547744514218,1.2108579756268292e-34
0844: Net taxes on products  (current US$) - WDI,156.83424553163564,3.3990818051223953e-34
0044: Personal remittances; paid  (current US$) - WDI,156.71019220775722,3.5954916066728754e-34
0084: Stocks traded; total value  (% of GDP) - WDI,155.83168840928911,5.352860238032746e-34
2735: Merchandise trade-Imports-Telecommunications equipment (US dollar at current prices) - WTO,154.01125316814051,1.2219326451097854e-33
0897: Primary education; pupils  (% female) - WDI,152.72371468946011,2.1920172802187546e-33
2723: Merchandise trade-Exports-Manufactures (US dollar at current prices) - WTO,151.36711271455729,4.059711657187774e-33
1351: Tariff rate; applied; weighted mean; primary products  (%) - WDI,151.34234170515592,4.1056761967914086e-33
0043: Secondary income; other sectors; payments  (BoP; current US$) - WDI,151.16881465066223,4.4426204659118024e-33
2794: Balance of Payments-Exports-Telecommunications; computer; and information services (US dollar at current prices) - WTO,150.65461207099187,5.6126434271598143e-33
2791: Balance of Payments-Exports-Insurance and pension services (US dollar at current prices) - WTO,147.68698126992567,2.1667960807700835e-32
0944: Secondary education; pupils  (% female) - WDI,144.75984947474106,8.2344308046154978e-32
0739: Manufacturing; value added  (constant 2005 US$) - WDI,143.84397613816304,1.2511019590019037e-31
0729: External balance on goods and services  (% of GDP) - WDI,143.17480571682887,1.6986036201959019e-31
2727: Merchandise trade-Imports-Fuels and mining products (US dollar at current prices) - WTO,142.33339780585246,2.4955120553655118e-31
0164: IDA grants  (current US$) - WDI,141.21831372193063,4.156401704455119e-31
2744: Merchandise trade-Exports-Machinery and transport equipment (US dollar at current prices) - WTO,140.64698634792575,5.3988562166665394e-31
1135: Employment in agriculture  (% of total employment) - WDI,138.46644083263692,1.4663072249432313e-30
0819: Gross domestic savings  (% of GDP) - WDI,137.12388906215364,2.7146692906506388e-30
0999: Proportion of seats held by women in national parliaments  (%) - WDI,136.70762780170529,3.2862777308835962e-30
2738: Merchandise trade-Imports-Textiles (US dollar at current prices) - WTO,136.69550133801641,3.3046251235415515e-30
0177: Concessional debt  (% of total external debt) - WDI,136.59530285052716,3.4602055376054983e-30
1318: International tourism; number of departures - WDI,136.51641629585706,3.5878390445892909e-30
0766: Adjusted savings: consumption of fixed capital  (current US$) - WDI,132.9778947078448,1.8253898652313367e-29
1910: General government expenditure on health as a percentage of total government expenditure - WHO,132.87649422216981,1.9126156422292946e-29
1374: Computer; communications and other services  (% of commercial service imports) - WDI,132.54057927563295,2.2325151249808899e-29
0796: Gross value added at factor cost  (constant 2005 US$) - WDI,132.34178555830152,2.4465324738022593e-29
1383: ICT goods exports  (% of total goods exports) - WDI,132.17930302639283,2.6366339796489865e-29
0949: Pupil-teacher ratio; upper secondary - WDI,128.16829727928689,1.6768338932907866e-28
0760: Adjusted savings: education expenditure  (current US$) - WDI,127.75756735129174,2.0271763268987597e-28
0794: Gross value added at factor cost  (current US$) - WDI,125.97722993124678,4.6168333420235387e-28
1384: Insurance and financial services  (% of commercial service exports) - WDI,125.73845469200297,5.1560773121983045e-28
0089: Net bilateral aid flows from DAC donors; Canada  (current US$) - WDI,125.39520184334323,6.0436706255847607e-28
0884: Pupil-teacher ratio; preprimary - WDI,124.78767640036244,8.0063154196572065e-28
2809: Balance of Payments-Exports-Telecommunications services (US dollar at current prices) - WTO,124.21973124722297,1.0414910734965179e-27
1356: ICT goods imports  (% total goods imports) - WDI,123.26693979606759,1.6195008911436973e-27
0071: Foreign direct investment; net inflows  (BoP; current US$) - WDI,123.08039298118091,1.7657710544674509e-27
0115: Net bilateral aid flows from DAC donors; United States  (current US$) - WDI,120.84057630043124,4.9913434285645431e-27
0114: Net bilateral aid flows from DAC donors; Total  (current US$) - WDI,120.5528702123509,5.7047639093335145e-27
0802: GDP  (constant 2005 US$) - WDI,117.21660102741474,2.6910715203684691e-26
0816: Total natural resources rents  (% of GDP) - WDI,116.90622010763904,3.1094428390168439e-26
1266: Refugee population by country or territory of origin - WDI,116.26937278011215,4.1830577632215745e-26
1152: Employment to population ratio; 15+; male (%)  (modeled ILO estimate) - WDI,111.85131804731488,3.2866450394429576e-25
0774: Adjusted savings: natural resources depletion  (% of GNI) - WDI,111.29805110663139,4.2566571806166845e-25
0825: GNI  (constant 2005 US$) - WDI,110.57175894619772,5.9783148344077915e-25
0026: Food production index  (2004-2006 = 100) - WDI,109.50690406694051,9.8399658832218753e-25
0113: Net bilateral aid flows from DAC donors; Sweden  (current US$) - WDI,109.49989944251865,9.8722861114973818e-25
1396: Merchandise exports to low- and middle-income economies in Sub-Saharan Africa  (% of total merchandise exports) - WDI,109.30242901765699,1.08285256748889e-24
0761: Adjusted savings: education expenditure  (% of GNI) - WDI,107.97178072029773,2.0196789195587775e-24
0779: Adjusted net national income  (constant 2005 US$) - WDI,107.48685609708802,2.535150942016819e-24
1370: Merchandise imports by the reporting economy; residual  (% of total merchandise imports) - WDI,106.23929190552485,4.5514268014769512e-24
0756: Services; etc.; value added  (constant 2005 US$) - WDI,105.54523986802273,6.3042919984759569e-24
1373: Import value index  (2000 = 100) - WDI,105.51879141637384,6.3830687464029299e-24
0822: GNI; Atlas method  (current US$) - WDI,105.27744483455352,7.1490495407588335e-24
0135: Principal arrears; official creditors  (current US$) - WDI,104.73507174069545,9.2233561149990949e-24
