0835-All-N-MIC,0835-All-N-FST,0835-Ext-N-MIC,0835-Ext-N-FST
0379: Electric power consumption  (kWh per capita) - WDI,1312: Rural population  (% of total population) - WDI,1095: External resources for health  (% of total expenditure on health) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU
0380: Energy use  (kg of oil equivalent per capita) - WDI,1098: Health expenditure per capita  (current US$) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1285: Life expectancy at birth; female  (years) - WDI
1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,1287: Life expectancy at birth; male  (years) - WDI,1051: Lifetime risk of maternal death  (%) - WDI,2707: Failed States Index Total - Fund for Peace
0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,2714: Public Services - Fund for Peace,0898: Pupil-teacher ratio; primary - WDI,2708: Demographic Pressures - Fund for Peace
2714: Public Services - Fund for Peace,1295: Population ages 0-14  (% of total) - WDI,2712: Poverty and Economic Decline - Fund for Peace,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI
1058: Improved sanitation facilities  (% of population with access) - WDI,2704: Corruption perceptions index - Transparency,1300: Age dependency ratio; young  (% of working-age population) - WDI,1298: Age dependency ratio  (% of working-age population) - WDI
0638: Fixed telephone subscriptions  (per 100 people) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1289: Survival to age 65; female  (% of cohort) - WDI,1059: Improved sanitation facilities; rural  (% of rural population with access) - WDI
1899: Percentage of Individuals using the Internet (%) - ITU,1290: Survival to age 65; male  (% of cohort) - WDI,0322: Net ODA received  (% of imports of goods; services and primary income) - WDI,2719: Human Flight - Fund for Peace
1028: Mortality rate; under-5  (per 1;000 live births) - WDI,1286: Life expectancy at birth; total  (years) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI,1058: Improved sanitation facilities  (% of population with access) - WDI
1283: Mortality rate; infant  (per 1;000 live births) - WDI,1296: Population ages 15-64  (% of total) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,1278: Birth rate; crude  (per 1;000 people) - WDI
1295: Population ages 0-14  (% of total) - WDI,2712: Poverty and Economic Decline - Fund for Peace,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,0736: Agriculture; value added  (% of GDP) - WDI
1095: External resources for health  (% of total expenditure on health) - WDI,1300: Age dependency ratio; young  (% of working-age population) - WDI,1035: Improved water source  (% of population with access) - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO
1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,0773: Adjusted savings: particulate emission damage  (% of GNI) - WDI,2706: Failed States Index Rank - Fund for Peace
1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1285: Life expectancy at birth; female  (years) - WDI,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,1289: Survival to age 65; female  (% of cohort) - WDI
0643: Internet users  (per 100 people) - WDI,2707: Failed States Index Total - Fund for Peace,1315: Urban population  (% of total) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI
1051: Lifetime risk of maternal death  (%) - WDI,2708: Demographic Pressures - Fund for Peace,1071: Maternal mortality ratio  (modeled estimate; per 100;000 live births) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI
0898: Pupil-teacher ratio; primary - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,1333: Tariff rate; most favored nation; simple mean; manufactured products  (%) - WDI,1273: Adolescent fertility rate  (births per 1;000 women ages 15-19) - WDI
2712: Poverty and Economic Decline - Fund for Peace,1298: Age dependency ratio  (% of working-age population) - WDI,1312: Rural population  (% of total population) - WDI,1895: Mobile-cellular telephone subscriptions - ITU
1300: Age dependency ratio; young  (% of working-age population) - WDI,1059: Improved sanitation facilities; rural  (% of rural population with access) - WDI,1285: Life expectancy at birth; female  (years) - WDI,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU
1289: Survival to age 65; female  (% of cohort) - WDI,2719: Human Flight - Fund for Peace,1276: Mortality rate; adult; female  (per 1;000 female adults) - WDI,1277: Mortality rate; adult; male  (per 1;000 male adults) - WDI
0322: Net ODA received  (% of imports of goods; services and primary income) - WDI,1058: Improved sanitation facilities  (% of population with access) - WDI,0979: School enrollment; tertiary; female  (% gross) - WDI,2711: Uneven Development - Fund for Peace
0640: Fixed broadband subscriptions  (per 100 people) - WDI,1278: Birth rate; crude  (per 1;000 people) - WDI,1286: Life expectancy at birth; total  (years) - WDI,1060: Improved sanitation facilities; urban  (% of urban population with access) - WDI
0353: Agriculture value added per worker  (constant 2005 US$) - WDI,0736: Agriculture; value added  (% of GDP) - WDI,1060: Improved sanitation facilities; urban  (% of urban population with access) - WDI,1028: Mortality rate; under-5  (per 1;000 live births) - WDI
1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO,1059: Improved sanitation facilities; rural  (% of rural population with access) - WDI,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI
1035: Improved water source  (% of population with access) - WDI,2706: Failed States Index Rank - Fund for Peace,1278: Birth rate; crude  (per 1;000 people) - WDI,1986: Per capita government expenditure on health at average exchange rate (US$) - WHO
0773: Adjusted savings: particulate emission damage  (% of GNI) - WDI,1971: Per capita total expenditure on health (PPP int. $) - WHO,2708: Demographic Pressures - Fund for Peace,2718: External Intervention - Fund for Peace
1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,1289: Survival to age 65; female  (% of cohort) - WDI,0642: Secure Internet servers  (per 1 million people) - WDI,1288: Fertility rate; total  (births per woman) - WDI
1315: Urban population  (% of total) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI,0319: Net ODA received  (% of gross capital formation) - WDI,2716: Security Apparatus - Fund for Peace
1071: Maternal mortality ratio  (modeled estimate; per 100;000 live births) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,1296: Population ages 15-64  (% of total) - WDI,1033: Improved water source; rural  (% of rural population with access) - WDI
1333: Tariff rate; most favored nation; simple mean; manufactured products  (%) - WDI,1273: Adolescent fertility rate  (births per 1;000 women ages 15-19) - WDI,0320: Net ODA received  (% of GNI) - WDI,0954: School enrollment; secondary; male  (% gross) - WDI
1312: Rural population  (% of total population) - WDI,1895: Mobile-cellular telephone subscriptions - ITU,1298: Age dependency ratio  (% of working-age population) - WDI,1035: Improved water source  (% of population with access) - WDI
1285: Life expectancy at birth; female  (years) - WDI,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,0954: School enrollment; secondary; male  (% gross) - WDI,0729: External balance on goods and services  (% of GDP) - WDI
1276: Mortality rate; adult; female  (per 1;000 female adults) - WDI,1277: Mortality rate; adult; male  (per 1;000 male adults) - WDI,2792: Balance of Payments-Exports-Financial services (US dollar at current prices) - WTO,2713: Legitimacy of the State - Fund for Peace
0979: School enrollment; tertiary; female  (% gross) - WDI,2711: Uneven Development - Fund for Peace,0177: Concessional debt  (% of total external debt) - WDI,1276: Mortality rate; adult; female  (per 1;000 female adults) - WDI
0978: School enrollment; tertiary  (% gross) - WDI,1060: Improved sanitation facilities; urban  (% of urban population with access) - WDI,0953: School enrollment; secondary; female  (% gross) - WDI,0898: Pupil-teacher ratio; primary - WDI
