2718,score,p-value
2736: Merchandise trade-Imports-Transport equipment (US dollar at current prices) - WTO,361.10417480114694,7.1363873012874052e-72
0885: School enrollment; preprimary  (% gross) - WDI,358.95324318458216,1.6850948899618916e-71
1073: People practicing open defecation; rural  (% of rural population) - WDI,358.15181349469185,2.3215326061840444e-71
1323: International tourism; receipts for travel items  (current US$) - WDI,357.47129109554743,3.0477723425689722e-71
0887: School enrollment; preprimary; male  (% gross) - WDI,355.02751553201603,8.1068162902213412e-71
0033: Imports of goods and services  (BoP; current US$) - WDI,354.38524208091252,1.0486077385694957e-70
2806: Balance of Payments-Imports-Other services (US dollar at current prices) - WTO,353.63506808063602,1.4164586053623737e-70
0886: School enrollment; preprimary; female  (% gross) - WDI,352.19875666179979,2.5199686851246582e-70
2725: Merchandise trade-Imports-Agricultural products (US dollar at current prices) - WTO,350.56295208168518,4.8594595478021011e-70
2729: Merchandise trade-Imports-Manufactures (US dollar at current prices) - WTO,348.7393620079809,1.0111994997126741e-69
0722: Imports of goods and services  (constant 2005 US$) - WDI,347.5718862756936,1.6171778193406674e-69
0898: Pupil-teacher ratio; primary - WDI,346.22072853768179,2.7856953190135983e-69
2780: Merchandise trade-Exports-Total merchandise (US dollar at current prices) - WTO,346.03620641672404,3.0005542596753836e-69
1388: Merchandise exports  (current US$) - WDI,345.61720675698825,3.5521052730771228e-69
1319: International tourism; receipts  (current US$) - WDI,345.51057659326119,3.7079904452770924e-69
1075: People practicing open defecation  (% of population) - WDI,341.28353594452841,2.0393902727699991e-68
1398: Merchandise exports by the reporting economy  (current US$) - WDI,338.27672023884276,6.8745600819118744e-68
1041: Immunization; measles  (% of children ages 12-23 months) - WDI,336.40294270794072,1.4675365489513868e-67
0065: Goods exports  (BoP; current US$) - WDI,335.24122878209437,2.3494021454324115e-67
2781: Merchandise trade-Imports-Total merchandise (US dollar at current prices) - WTO,335.1476678184298,2.4401840771721603e-67
1361: Merchandise imports  (current US$) - WDI,334.62059548209254,3.0213121706653635e-67
1317: International tourism; number of arrivals - WDI,332.82543686545563,6.2572752671365139e-67
1371: Merchandise imports by the reporting economy  (current US$) - WDI,331.38995242641295,1.1206287346350548e-66
1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,331.26466993654338,1.1791231176436646e-66
0062: Primary income receipts  (BoP; current US$) - WDI,330.49337425492951,1.6130071982157622e-66
2795: Balance of Payments-Exports-Other business services (US dollar at current prices) - WTO,328.0625875911478,4.3340387697364287e-66
2803: Balance of Payments-Imports-Travel (US dollar at current prices) - WTO,327.99377039675369,4.4571186969185003e-66
2737: Merchandise trade-Imports-Automotive products (US dollar at current prices) - WTO,325.00376271038192,1.5063382133739116e-65
2823: Balance of Payments-Imports-Personal; cultural; and recreational services (US dollar at current prices) - WTO,323.12588510781524,3.240053819075283e-65
0035: Goods imports  (BoP; current US$) - WDI,322.45639018750501,4.2582273033884098e-65
2730: Merchandise trade-Imports-Iron and steel (US dollar at current prices) - WTO,319.25675043701511,1.5741657230762319e-64
1101: Health expenditure; public  (% of total health expenditure) - WDI,317.16461135733744,3.7060204940868675e-64
2788: Balance of Payments-Exports-Travel (US dollar at current prices) - WTO,315.41019556191941,7.6048599387971936e-64
2802: Balance of Payments-Imports-Transport (US dollar at current prices) - WTO,314.29677868781323,1.2005540299229412e-63
1040: Immunization; DPT  (% of children ages 12-23 months) - WDI,309.20801942289586,9.7119982812265721e-63
1332: Tariff rate; applied; simple mean; manufactured products  (%) - WDI,308.1953620147861,1.4733673695887736e-62
1340: Tariff rate; applied; simple mean; all products  (%) - WDI,303.12814623801694,1.1903065816008646e-61
1322: International tourism; expenditures for passenger transport items  (current US$) - WDI,302.26786748876395,1.6981402366844597e-61
2733: Merchandise trade-Imports-Machinery and transport equipment (US dollar at current prices) - WTO,302.23837631779503,1.7189569733747744e-61
1344: Tariff rate; most favored nation; weighted mean; all products  (%) - WDI,285.92021130212362,1.504800081449306e-58
1376: Transport services  (% of commercial service imports) - WDI,285.16860277440531,2.059160678472575e-58
1096: Out-of-pocket health expenditure  (% of total expenditure on health) - WDI,278.56398910053088,3.2604518097071866e-57
2738: Merchandise trade-Imports-Textiles (US dollar at current prices) - WTO,277.8019887643963,4.4873187054201469e-57
0037: Charges for the use of intellectual property; payments  (BoP; current US$) - WDI,276.62641261169705,7.346929909892274e-57
2789: Balance of Payments-Exports-Other commercial services (US dollar at current prices) - WTO,271.78586208582522,5.6152690100746835e-56
2798: Balance of Payments-Exports-Other services (US dollar at current prices) - WTO,266.66224125964368,4.8654380024577646e-55
2739: Merchandise trade-Imports-Clothing (US dollar at current prices) - WTO,265.79091296418477,7.0289157468575394e-55
0928: Primary education; teachers  (% female) - WDI,262.4747060695741,2.8557794542156714e-54
0729: External balance on goods and services  (% of GDP) - WDI,254.85611707312236,7.2301276540413169e-53
1963: Private prepaid plans as a percentage of private expenditure on health - WHO,251.80415282418568,2.6496893602456874e-52
1321: International tourism; receipts for passenger transport items  (current US$) - WDI,251.352236171013,3.2122268302841502e-52
2752: Merchandise trade-Imports-Electronic data processing and office equipment (US dollar at current prices) - WTO,250.79283157644224,4.0769614250905768e-52
0819: Gross domestic savings  (% of GDP) - WDI,245.21585309536755,4.4100323508845449e-51
2735: Merchandise trade-Imports-Telecommunications equipment (US dollar at current prices) - WTO,244.36120961794703,6.3566595036358646e-51
1389: Merchandise exports to high-income economies  (% of total merchandise exports) - WDI,243.91779716122926,7.6850246573900694e-51
1343: Tariff rate; applied; weighted mean; all products  (%) - WDI,243.64553791469345,8.6349706771554025e-51
2723: Merchandise trade-Exports-Manufactures (US dollar at current prices) - WTO,243.40700231876852,9.5634359018994238e-51
2741: Merchandise trade-Exports-Iron and steel (US dollar at current prices) - WTO,242.06317073702809,1.7006211109834284e-50
2816: Balance of Payments-Imports-Financial services (US dollar at current prices) - WTO,241.76852822403916,1.9295141235531277e-50
2817: Balance of Payments-Imports-Charges for the use of intellectual property n.i.e. (US dollar at current prices) - WTO,239.60689724808194,4.8762896476714167e-50
1354: Food imports  (% of merchandise imports) - WDI,237.9357466039252,9.9940663960612013e-50
0844: Net taxes on products  (current US$) - WDI,235.57738784390176,2.7548979372456955e-49
0957: School enrollment; secondary; male  (% net) - WDI,234.27857247070622,4.8184053172037214e-49
0879: School enrollment; primary (gross); gender parity index  (GPI) - WDI,232.98872925471971,8.3988386123598896e-49
0946: Secondary education; general pupils  (% female) - WDI,232.05071045840833,1.2584472250922435e-48
0956: School enrollment; secondary; female  (% net) - WDI,231.4460319851199,1.6334189183543406e-48
0955: School enrollment; secondary  (% net) - WDI,230.46652650680335,2.4926443855729954e-48
0798: Forest rents  (% of GDP) - WDI,229.13107320325571,4.4372186244802788e-48
1336: Tariff rate; most favored nation; weighted mean; manufactured products  (%) - WDI,226.59362158515185,1.3291173244252989e-47
1331: Share of tariff lines with international peaks; manufactured products  (%) - WDI,224.87370988860064,2.7986006608464848e-47
2728: Merchandise trade-Imports-Fuels (US dollar at current prices) - WTO,223.17002767294679,5.8561616246797867e-47
1318: International tourism; number of departures - WDI,220.40471370066095,1.9446612596101347e-46
1333: Tariff rate; most favored nation; simple mean; manufactured products  (%) - WDI,219.56993709589071,2.7949198037612281e-46
2819: Balance of Payments-Imports-Telecommunications services (US dollar at current prices) - WTO,218.34543041132054,4.7598035269209131e-46
1339: Share of tariff lines with international peaks; all products  (%) - WDI,218.29808297690613,4.8588455702875523e-46
0921: Repeaters; primary; female  (% of female enrollment) - WDI,217.57633179027283,6.651311420166363e-46
0759: Services; etc.; value added  (% of GDP) - WDI,217.49331163705756,6.8960097264919766e-46
2749: Merchandise trade-Exports-Transport equipment (US dollar at current prices) - WTO,215.59711185764752,1.5747070706824358e-45
1335: Tariff rate; applied; weighted mean; manufactured products  (%) - WDI,215.16719531665129,1.8991708251290973e-45
0041: Foreign direct investment; net outflows  (BoP; current US$) - WDI,213.96665119233742,3.2054720311531805e-45
0044: Personal remittances; paid  (current US$) - WDI,213.80871144891285,3.4340883425048941e-45
2727: Merchandise trade-Imports-Fuels and mining products (US dollar at current prices) - WTO,213.29296295629206,4.3006465469554048e-45
0923: Repeaters; primary; total  (% of total enrollment) - WDI,212.7770604549959,5.3866325346705772e-45
2794: Balance of Payments-Exports-Telecommunications; computer; and information services (US dollar at current prices) - WTO,211.32358187470783,1.0162045182669644e-44
2744: Merchandise trade-Exports-Machinery and transport equipment (US dollar at current prices) - WTO,207.61172281373319,5.1537939953952036e-44
1269: Prevalence of undernourishment  (% of population) - WDI,207.0495134331058,6.592903166283713e-44
0892: Primary completion rate; female  (% of relevant age group) - WDI,206.87561021291717,7.1148586940581756e-44
1311: Rural population growth  (annual %) - WDI,205.31549102727561,1.4098871477376852e-43
0894: Primary completion rate; total  (% of relevant age group) - WDI,204.3683833565006,2.1361973997372031e-43
0039: Transport services  (% of service imports; BoP) - WDI,202.96637327007949,3.9534372763026194e-43
2750: Merchandise trade-Exports-Automotive products (US dollar at current prices) - WTO,199.97208799185583,1.4747882034206447e-42
0922: Repeaters; primary; male  (% of male enrollment) - WDI,198.97053503336855,2.2920354567831665e-42
0939: Lower secondary completion rate; female  (% of relevant age group) - WDI,198.61786916049948,2.6771868280767808e-42
1348: Tariff rate; applied; simple mean; primary products  (%) - WDI,198.1554021180761,3.2821763194171798e-42
0906: School enrollment; primary; female  (% net) - WDI,196.57618887747896,6.5843096255166147e-42
0177: Concessional debt  (% of total external debt) - WDI,193.59015952087563,2.4606302311195886e-41
0941: Lower secondary completion rate; total  (% of relevant age group) - WDI,192.26395043517496,4.4226986474631494e-41
1102: Health expenditure; public  (% of government expenditure) - WDI,191.85301532523155,5.3043745012289744e-41
0071: Foreign direct investment; net inflows  (BoP; current US$) - WDI,191.64375588357035,5.8189440307296275e-41
0760: Adjusted savings: education expenditure  (current US$) - WDI,190.85430296450195,8.2525823759719074e-41
1270: Depth of the food deficit  (kilocalories per person per day) - WDI,190.37319219916611,1.0211873572907192e-40
0905: School enrollment; primary  (% net) - WDI,189.58951130616683,1.4449939744581256e-40
0043: Secondary income; other sectors; payments  (BoP; current US$) - WDI,189.53316599395976,1.4815231170034549e-40
0766: Adjusted savings: consumption of fixed capital  (current US$) - WDI,189.53021405976764,1.4834621746769786e-40
1352: Tariff rate; most favored nation; weighted mean; primary products  (%) - WDI,188.43271877856935,2.4129304277928195e-40
0084: Stocks traded; total value  (% of GDP) - WDI,187.92800322414152,3.0182385614880845e-40
0893: Primary completion rate; male  (% of relevant age group) - WDI,187.67171160559428,3.3816438931274943e-40
1341: Tariff rate; most favored nation; simple mean; all products  (%) - WDI,187.53112864744602,3.5992709399943936e-40
0800: GDP  (current US$) - WDI,187.13535023016473,4.290264584376324e-40
0934: Children out of school; female  (% of female primary school age) - WDI,186.44417965438114,5.8307613626991102e-40
0930: Adjusted net enrollment rate; primary; female  (% of primary school age children) - WDI,186.19685645736783,6.5075559086450929e-40
0940: Lower secondary completion rate; male  (% of relevant age group) - WDI,184.52448670085451,1.3680831304985731e-39
0822: GNI; Atlas method  (current US$) - WDI,183.96267346536848,1.756294506459647e-39
1356: ICT goods imports  (% total goods imports) - WDI,183.85723956700261,1.8406060353853296e-39
0802: GDP  (constant 2005 US$) - WDI,183.49735374963117,2.1601294660049141e-39
0823: GNI  (current US$) - WDI,183.46331741761841,2.1930847226904173e-39
2734: Merchandise trade-Imports-Office and telecom equipment (US dollar at current prices) - WTO,183.41782264394072,2.2379221459625743e-39
1347: Share of tariff lines with international peaks; primary products  (%) - WDI,182.20236464413378,3.8438636367979794e-39
0778: Adjusted net national income  (current US$) - WDI,179.72482915914722,1.1593273991035536e-38
2791: Balance of Payments-Exports-Insurance and pension services (US dollar at current prices) - WTO,179.05468046018191,1.5632331617820613e-38
0937: Children out of school  (% of primary school age) - WDI,179.03536766464006,1.5767606825651863e-38
0929: Adjusted net enrollment rate; primary  (% of primary school age children) - WDI,178.81736047484611,1.7378403693101197e-38
2792: Balance of Payments-Exports-Financial services (US dollar at current prices) - WTO,176.31421410570047,5.3148382564835998e-38
0880: School enrollment; primary and secondary (gross); gender parity index  (GPI) - WDI,175.44848944496249,7.8267702928850956e-38
1093: Incidence of tuberculosis  (per 100;000 people) - WDI,173.04936088905438,2.2903973799553079e-37
2722: Merchandise trade-Exports-Fuels and mining products (US dollar at current prices) - WTO,172.95199075616077,2.3925043310891388e-37
0765: Adjusted savings: net forest depletion  (% of GNI) - WDI,172.46761438271312,2.9723439769636837e-37
0878: Compulsory education; duration  (years) - WDI,171.39063328928802,4.816801037140146e-37
0825: GNI  (constant 2005 US$) - WDI,170.65899527607758,6.6876706967169055e-37
0779: Adjusted net national income  (constant 2005 US$) - WDI,168.15435903816189,2.0591145174337912e-36
0075: Secondary income receipts  (BoP; current US$) - WDI,167.62440676496732,2.6129202500837094e-36
0907: School enrollment; primary; male  (% net) - WDI,166.99602645383098,3.4660293480918128e-36
1374: Computer; communications and other services  (% of commercial service imports) - WDI,166.90850608015216,3.6051782520960599e-36
0754: Services; etc.; value added  (current US$) - WDI,165.44739682428965,6.9575915825267845e-36
0029: Cereal yield  (kg per hectare) - WDI,165.23883199292462,7.6425760747866177e-36
0794: Gross value added at factor cost  (current US$) - WDI,163.8609366024553,1.4216869800860515e-35
0716: Gross capital formation  (constant 2005 US$) - WDI,162.59491682849736,2.5159456551149739e-35
2809: Balance of Payments-Exports-Telecommunications services (US dollar at current prices) - WTO,161.95435100743444,3.3589982453794441e-35
0796: Gross value added at factor cost  (constant 2005 US$) - WDI,159.76239990788272,9.0385099832381291e-35
1974: Total expenditure on health as a percentage of gross domestic product - WHO,159.50391934387676,1.0158559244200623e-34
1074: People practicing open defecation; urban  (% of urban population) - WDI,158.99969796712386,1.2759320633381044e-34
0931: Adjusted net enrollment rate; primary; male  (% of primary school age children) - WDI,157.32568668375109,2.7210317259255485e-34
0936: Children out of school; male  (% of male primary school age) - WDI,157.04528284797354,3.0893218449640732e-34
0745: Industry; value added  (constant 2005 US$) - WDI,156.51337231129153,3.9306974710276937e-34
0817: Gross domestic savings  (current US$) - WDI,154.10582754569961,1.1706140665371351e-33
0055: Net secondary income  (BoP; current US$) - WDI,151.6156333000589,3.6261412648849036e-33
0756: Services; etc.; value added  (constant 2005 US$) - WDI,150.51738323156485,5.9740524403701196e-33
1922: Private expenditure on health as a percentage of total expenditure on health - WHO,149.99870315415799,7.5635742898781188e-33
0743: Industry; value added  (current US$) - WDI,149.39478560465983,9.9556217234070109e-33
0739: Manufacturing; value added  (constant 2005 US$) - WDI,147.86116090477157,2.0014867438563791e-32
1403: High-technology exports  (current US$) - WDI,147.63032070302012,2.2234659601682333e-32
1104: Health expenditure; total  (% of GDP) - WDI,147.01438284238066,2.9440507821158204e-32
1358: Manufactures imports  (% of merchandise imports) - WDI,146.50884655253898,3.707203723777158e-32
1994: General government expenditure on health as a percentage of total expenditure on health - WHO,146.20486456173148,4.2584800306498556e-32
0973: Secondary education; teachers  (% female) - WDI,145.81557219350174,5.0860209361532899e-32
0881: School enrollment; secondary (gross); gender parity index  (GPI) - WDI,144.63470522746144,8.7186368213526335e-32
0948: Pupil-teacher ratio; secondary - WDI,144.36757610452239,9.8497475722628929e-32
0976: Adolescents out of school  (% of lower secondary school age) - WDI,143.12235239260863,1.7398195002881749e-31
0164: IDA grants  (current US$) - WDI,143.11407848386844,1.7464116724586935e-31
1385: Manufactures exports  (% of merchandise exports) - WDI,142.59159957869997,2.2175913112335988e-31
0837: Gross savings  (current US$) - WDI,142.29082375185254,2.5445772567991153e-31
0714: Gross capital formation  (current US$) - WDI,142.28880767796969,2.5469245269451925e-31
0057: Grants; excluding technical cooperation  (BoP; current US$) - WDI,142.23490597567337,2.6104915415233337e-31
0897: Primary education; pupils  (% female) - WDI,140.26885633337281,6.4195064486572776e-31
1351: Tariff rate; applied; weighted mean; primary products  (%) - WDI,139.04035395880371,1.127077890792802e-30
1313: Urban population growth  (annual %) - WDI,138.67224682791081,1.3342646633978799e-30
0115: Net bilateral aid flows from DAC donors; United States  (current US$) - WDI,136.28324111709006,3.9933403549226177e-30
0152: Currency composition of PPG debt; SDR  (%) - WDI,133.66534182323727,1.3303278563720702e-29
0944: Secondary education; pupils  (% female) - WDI,132.11161750232492,2.7201260242749087e-29
1404: High-technology exports  (% of manufactured exports) - WDI,131.20548228377157,4.1295807866428253e-29
0882: School enrollment; tertiary (gross); gender parity index  (GPI) - WDI,131.17805660724702,4.1821116818016987e-29
1266: Refugee population by country or territory of origin - WDI,128.21112257279739,1.6439920969030586e-28
0947: Pupil-teacher ratio; lower secondary - WDI,127.21363352201942,2.6064750898980436e-28
0999: Proportion of seats held by women in national parliaments  (%) - WDI,127.13409139146458,2.7040854728603635e-28
0806: GDP; PPP  (constant 2011 international $) - WDI,126.52979563382878,3.5756315910233381e-28
0737: Manufacturing; value added  (current US$) - WDI,124.8272614244292,7.8609175008617914e-28
1369: Merchandise imports from low- and middle-income economies in Sub-Saharan Africa  (% of total merchandise imports) - WDI,124.51336356605574,9.090664254290554e-28
0829: GNI; PPP  (constant 2011 international $) - WDI,123.89933327608246,1.2081285134570359e-27
0805: GDP; PPP  (current international $) - WDI,123.44555119993498,1.4908369135856017e-27
1148: Self-employed; total  (% of total employed) - WDI,122.64008379811767,2.1656668235066561e-27
0828: GNI; PPP  (current international $) - WDI,122.44378540835774,2.3720605697099214e-27
0089: Net bilateral aid flows from DAC donors; Canada  (current US$) - WDI,122.40953994082045,2.4100348198017437e-27
1185: Employment in services  (% of total employment) - WDI,116.51749476535646,3.7264958701758178e-26
