2716-All-N-MIC,2716-All-N-FST,2716-Ext-N-MIC,2716-Ext-N-FST
1098: Health expenditure per capita  (current US$) - WDI,2709: Refugees and IDPs - Fund for Peace,1297: Population ages 65 and above  (% of total) - WDI,2712: Poverty and Economic Decline - Fund for Peace
0353: Agriculture value added per worker  (constant 2005 US$) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,0020: Land area  (sq. km) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU
0028: Surface area  (sq. km) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0379: Electric power consumption  (kWh per capita) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI
0781: Adjusted net national income per capita  (current US$) - WDI,2712: Poverty and Economic Decline - Fund for Peace,0642: Secure Internet servers  (per 1 million people) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI
1297: Population ages 65 and above  (% of total) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,2711: Uneven Development - Fund for Peace,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI
0020: Land area  (sq. km) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,1025: Number of neonatal deaths - WDI,0781: Adjusted net national income per capita  (current US$) - WDI
0379: Electric power consumption  (kWh per capita) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,2719: Human Flight - Fund for Peace
0642: Secure Internet servers  (per 1 million people) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,1028: Mortality rate; under-5  (per 1;000 live births) - WDI,1098: Health expenditure per capita  (current US$) - WDI
2711: Uneven Development - Fund for Peace,0781: Adjusted net national income per capita  (current US$) - WDI,2710: Group Grievance - Fund for Peace,1297: Population ages 65 and above  (% of total) - WDI
1025: Number of neonatal deaths - WDI,2719: Human Flight - Fund for Peace,1283: Mortality rate; infant  (per 1;000 live births) - WDI,1299: Age dependency ratio; old  (% of working-age population) - WDI
0830: GNI per capita; Atlas method  (current US$) - WDI,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,1299: Age dependency ratio; old  (% of working-age population) - WDI,1295: Population ages 0-14  (% of total) - WDI
1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0808: GDP per capita  (current US$) - WDI,2718: External Intervention - Fund for Peace,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI
1028: Mortality rate; under-5  (per 1;000 live births) - WDI,1098: Health expenditure per capita  (current US$) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI
2710: Group Grievance - Fund for Peace,0832: GNI per capita  (constant 2005 US$) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI,1103: Health expenditure; public  (% of GDP) - WDI
1283: Mortality rate; infant  (per 1;000 live births) - WDI,1297: Population ages 65 and above  (% of total) - WDI,1051: Lifetime risk of maternal death  (%) - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO
1299: Age dependency ratio; old  (% of working-age population) - WDI,1299: Age dependency ratio; old  (% of working-age population) - WDI,1285: Life expectancy at birth; female  (years) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI
2718: External Intervention - Fund for Peace,1295: Population ages 0-14  (% of total) - WDI,0643: Internet users  (per 100 people) - WDI,1278: Birth rate; crude  (per 1;000 people) - WDI
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,1021: Number of infant deaths - WDI,1287: Life expectancy at birth; male  (years) - WDI
0640: Fixed broadband subscriptions  (per 100 people) - WDI,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,0952: School enrollment; secondary  (% gross) - WDI,1300: Age dependency ratio; young  (% of working-age population) - WDI
1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1103: Health expenditure; public  (% of GDP) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI
0808: GDP per capita  (current US$) - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO,1034: Improved water source; urban  (% of urban population with access) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI
1051: Lifetime risk of maternal death  (%) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1035: Improved water source  (% of population with access) - WDI,1285: Life expectancy at birth; female  (years) - WDI
1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,0835: GNI per capita; PPP  (current international $) - WDI,0004: Agricultural land  (sq. km) - WDI,1986: Per capita government expenditure on health at average exchange rate (US$) - WHO
1285: Life expectancy at birth; female  (years) - WDI,1971: Per capita total expenditure on health (PPP int. $) - WHO,1023: Number of under-five deaths - WDI,0767: Adjusted savings: consumption of fixed capital  (% of GNI) - WDI
0643: Internet users  (per 100 people) - WDI,1278: Birth rate; crude  (per 1;000 people) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,0979: School enrollment; tertiary; female  (% gross) - WDI
1021: Number of infant deaths - WDI,1287: Life expectancy at birth; male  (years) - WDI,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,1290: Survival to age 65; male  (% of cohort) - WDI
0952: School enrollment; secondary  (% gross) - WDI,1286: Life expectancy at birth; total  (years) - WDI,1049: Number of maternal deaths - WDI,1033: Improved water source; rural  (% of rural population with access) - WDI
0638: Fixed telephone subscriptions  (per 100 people) - WDI,1300: Age dependency ratio; young  (% of working-age population) - WDI,1295: Population ages 0-14  (% of total) - WDI,1028: Mortality rate; under-5  (per 1;000 live births) - WDI
1899: Percentage of Individuals using the Internet (%) - ITU,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0953: School enrollment; secondary; female  (% gross) - WDI,0978: School enrollment; tertiary  (% gross) - WDI
1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1283: Mortality rate; infant  (per 1;000 live births) - WDI,0380: Energy use  (kg of oil equivalent per capita) - WDI,1288: Fertility rate; total  (births per woman) - WDI
1034: Improved water source; urban  (% of urban population with access) - WDI,1285: Life expectancy at birth; female  (years) - WDI,1071: Maternal mortality ratio  (modeled estimate; per 100;000 live births) - WDI,1035: Improved water source  (% of population with access) - WDI
1035: Improved water source  (% of population with access) - WDI,0813: GDP per capita; PPP  (current international $) - WDI,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,1315: Urban population  (% of total) - WDI
0004: Agricultural land  (sq. km) - WDI,1955: Per capita total expenditure on health at average exchange rate (US$) - WHO,0736: Agriculture; value added  (% of GDP) - WDI,1312: Rural population  (% of total population) - WDI
1023: Number of under-five deaths - WDI,1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,0954: School enrollment; secondary; male  (% gross) - WDI,1350: Share of tariff lines with specific rates; primary products  (%) - WDI
1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,0767: Adjusted savings: consumption of fixed capital  (% of GNI) - WDI,1300: Age dependency ratio; young  (% of working-age population) - WDI,1289: Survival to age 65; female  (% of cohort) - WDI
0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,0979: School enrollment; tertiary; female  (% gross) - WDI,1310: Rural population - WDI,1362: Merchandise imports from high-income economies  (% of total merchandise imports) - WDI
1049: Number of maternal deaths - WDI,1290: Survival to age 65; male  (% of cohort) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI
