2704-All-N-MIC,2704-All-N-FST,2704-Ext-N-MIC,2704-Ext-N-FST
2706: Failed States Index Rank - Fund for Peace,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,1098: Health expenditure per capita  (current US$) - WDI
0830: GNI per capita; Atlas method  (current US$) - WDI,2706: Failed States Index Rank - Fund for Peace,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU
2707: Failed States Index Total - Fund for Peace,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0643: Internet users  (per 100 people) - WDI,2708: Demographic Pressures - Fund for Peace
1899: Percentage of Individuals using the Internet (%) - ITU,0832: GNI per capita  (constant 2005 US$) - WDI,0028: Surface area  (sq. km) - WDI,2717: Factionalized Elites - Fund for Peace
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1098: Health expenditure per capita  (current US$) - WDI,0020: Land area  (sq. km) - WDI,2711: Uneven Development - Fund for Peace
0808: GDP per capita  (current US$) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,0640: Fixed broadband subscriptions  (per 100 people) - WDI,2712: Poverty and Economic Decline - Fund for Peace
0643: Internet users  (per 100 people) - WDI,2708: Demographic Pressures - Fund for Peace,2708: Demographic Pressures - Fund for Peace,2719: Human Flight - Fund for Peace
0028: Surface area  (sq. km) - WDI,2717: Factionalized Elites - Fund for Peace,0571: Time to import  (days) - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO
0020: Land area  (sq. km) - WDI,2711: Uneven Development - Fund for Peace,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0835: GNI per capita; PPP  (current international $) - WDI
0640: Fixed broadband subscriptions  (per 100 people) - WDI,2712: Poverty and Economic Decline - Fund for Peace,1035: Improved water source  (% of population with access) - WDI,2718: External Intervention - Fund for Peace
1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,2719: Human Flight - Fund for Peace,1167: GDP per person employed  (constant 2011 PPP $) - WDI,1986: Per capita government expenditure on health at average exchange rate (US$) - WHO
2708: Demographic Pressures - Fund for Peace,1946: Per capita government expenditure on health (PPP int. $) - WHO,1289: Survival to age 65; female  (% of cohort) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI
0571: Time to import  (days) - WDI,0835: GNI per capita; PPP  (current international $) - WDI,0953: School enrollment; secondary; female  (% gross) - WDI,1287: Life expectancy at birth; male  (years) - WDI
0814: GDP per capita; PPP  (constant 2011 international $) - WDI,2718: External Intervention - Fund for Peace,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,1290: Survival to age 65; male  (% of cohort) - WDI
0835: GNI per capita; PPP  (current international $) - WDI,1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,2715: Human Rights - Fund for Peace,2710: Group Grievance - Fund for Peace
1035: Improved water source  (% of population with access) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,2716: Security Apparatus - Fund for Peace,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI
1167: GDP per person employed  (constant 2011 PPP $) - WDI,1955: Per capita total expenditure on health at average exchange rate (US$) - WHO,0380: Energy use  (kg of oil equivalent per capita) - WDI,1295: Population ages 0-14  (% of total) - WDI
1289: Survival to age 65; female  (% of cohort) - WDI,0813: GDP per capita; PPP  (current international $) - WDI,1034: Improved water source; urban  (% of urban population with access) - WDI,1297: Population ages 65 and above  (% of total) - WDI
0953: School enrollment; secondary; female  (% gross) - WDI,1971: Per capita total expenditure on health (PPP int. $) - WHO,1283: Mortality rate; infant  (per 1;000 live births) - WDI,1285: Life expectancy at birth; female  (years) - WDI
0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,1287: Life expectancy at birth; male  (years) - WDI,1033: Improved water source; rural  (% of rural population with access) - WDI,1103: Health expenditure; public  (% of GDP) - WDI
0813: GDP per capita; PPP  (current international $) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI
2715: Human Rights - Fund for Peace,1290: Survival to age 65; male  (% of cohort) - WDI,1028: Mortality rate; under-5  (per 1;000 live births) - WDI,1299: Age dependency ratio; old  (% of working-age population) - WDI
2716: Security Apparatus - Fund for Peace,1286: Life expectancy at birth; total  (years) - WDI,1051: Lifetime risk of maternal death  (%) - WDI,2709: Refugees and IDPs - Fund for Peace
0380: Energy use  (kg of oil equivalent per capita) - WDI,2710: Group Grievance - Fund for Peace,1286: Life expectancy at birth; total  (years) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI
1034: Improved water source; urban  (% of urban population with access) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,0954: School enrollment; secondary; male  (% gross) - WDI,1278: Birth rate; crude  (per 1;000 people) - WDI
1283: Mortality rate; infant  (per 1;000 live births) - WDI,1295: Population ages 0-14  (% of total) - WDI,0952: School enrollment; secondary  (% gross) - WDI,1300: Age dependency ratio; young  (% of working-age population) - WDI
1033: Improved water source; rural  (% of rural population with access) - WDI,1297: Population ages 65 and above  (% of total) - WDI,0553: Time to export  (days) - WDI,1033: Improved water source; rural  (% of rural population with access) - WDI
1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,1285: Life expectancy at birth; female  (years) - WDI,0456: Commercial bank branches  (per 100;000 adults) - WDI,1315: Urban population  (% of total) - WDI
1028: Mortality rate; under-5  (per 1;000 live births) - WDI,1103: Health expenditure; public  (% of GDP) - WDI,0460: Domestic credit to private sector by banks  (% of GDP) - WDI,1312: Rural population  (% of total population) - WDI
1051: Lifetime risk of maternal death  (%) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,1093: Incidence of tuberculosis  (per 100;000 people) - WDI,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI
1286: Life expectancy at birth; total  (years) - WDI,1299: Age dependency ratio; old  (% of working-age population) - WDI,1297: Population ages 65 and above  (% of total) - WDI,1289: Survival to age 65; female  (% of cohort) - WDI
0954: School enrollment; secondary; male  (% gross) - WDI,2709: Refugees and IDPs - Fund for Peace,0490: Claims on other sectors of the domestic economy  (% of GDP) - WDI,1035: Improved water source  (% of population with access) - WDI
0952: School enrollment; secondary  (% gross) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI,1285: Life expectancy at birth; female  (years) - WDI,1028: Mortality rate; under-5  (per 1;000 live births) - WDI
0553: Time to export  (days) - WDI,1278: Birth rate; crude  (per 1;000 people) - WDI,1058: Improved sanitation facilities  (% of population with access) - WDI,1277: Mortality rate; adult; male  (per 1;000 male adults) - WDI
0456: Commercial bank branches  (per 100;000 adults) - WDI,1300: Age dependency ratio; young  (% of working-age population) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,1059: Improved sanitation facilities; rural  (% of rural population with access) - WDI
0460: Domestic credit to private sector by banks  (% of GDP) - WDI,1033: Improved water source; rural  (% of rural population with access) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,1058: Improved sanitation facilities  (% of population with access) - WDI
1093: Incidence of tuberculosis  (per 100;000 people) - WDI,1315: Urban population  (% of total) - WDI,1295: Population ages 0-14  (% of total) - WDI,1288: Fertility rate; total  (births per woman) - WDI
