2713-All-N-MIC,2713-All-N-FST,2713-Ext-N-MIC,2713-Ext-N-FST
0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,2712: Poverty and Economic Decline - Fund for Peace,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,2719: Human Flight - Fund for Peace
2711: Uneven Development - Fund for Peace,1299: Age dependency ratio; old  (% of working-age population) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,2709: Refugees and IDPs - Fund for Peace
1028: Mortality rate; under-5  (per 1;000 live births) - WDI,1971: Per capita total expenditure on health (PPP int. $) - WHO,1286: Life expectancy at birth; total  (years) - WDI,1103: Health expenditure; public  (% of GDP) - WDI
0456: Commercial bank branches  (per 100;000 adults) - WDI,1297: Population ages 65 and above  (% of total) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI,1287: Life expectancy at birth; male  (years) - WDI
2718: External Intervention - Fund for Peace,1955: Per capita total expenditure on health at average exchange rate (US$) - WHO,1297: Population ages 65 and above  (% of total) - WDI,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0808: GDP per capita  (current US$) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,1285: Life expectancy at birth; female  (years) - WDI
0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,1025: Number of neonatal deaths - WDI,1290: Survival to age 65; male  (% of cohort) - WDI
1286: Life expectancy at birth; total  (years) - WDI,2719: Human Flight - Fund for Peace,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1295: Population ages 0-14  (% of total) - WDI
1283: Mortality rate; infant  (per 1;000 live births) - WDI,2709: Refugees and IDPs - Fund for Peace,1299: Age dependency ratio; old  (% of working-age population) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI
1297: Population ages 65 and above  (% of total) - WDI,1103: Health expenditure; public  (% of GDP) - WDI,0378: Combustible renewables and waste  (% of total energy) - WDI,1278: Birth rate; crude  (per 1;000 people) - WDI
0638: Fixed telephone subscriptions  (per 100 people) - WDI,1287: Life expectancy at birth; male  (years) - WDI,1049: Number of maternal deaths - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI
1025: Number of neonatal deaths - WDI,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,0490: Claims on other sectors of the domestic economy  (% of GDP) - WDI,0835: GNI per capita; PPP  (current international $) - WDI
1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1286: Life expectancy at birth; total  (years) - WDI,1051: Lifetime risk of maternal death  (%) - WDI,0979: School enrollment; tertiary; female  (% gross) - WDI
1299: Age dependency ratio; old  (% of working-age population) - WDI,1285: Life expectancy at birth; female  (years) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,1350: Share of tariff lines with specific rates; primary products  (%) - WDI
0378: Combustible renewables and waste  (% of total energy) - WDI,1290: Survival to age 65; male  (% of cohort) - WDI,0017: Forest area  (% of land area) - WDI,1289: Survival to age 65; female  (% of cohort) - WDI
1049: Number of maternal deaths - WDI,1295: Population ages 0-14  (% of total) - WDI,0379: Electric power consumption  (kWh per capita) - WDI,1300: Age dependency ratio; young  (% of working-age population) - WDI
0490: Claims on other sectors of the domestic economy  (% of GDP) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,1312: Rural population  (% of total population) - WDI
1051: Lifetime risk of maternal death  (%) - WDI,1278: Birth rate; crude  (per 1;000 people) - WDI,0643: Internet users  (per 100 people) - WDI,1315: Urban population  (% of total) - WDI
0814: GDP per capita; PPP  (constant 2011 international $) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI,1035: Improved water source  (% of population with access) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI
0017: Forest area  (% of land area) - WDI,0978: School enrollment; tertiary  (% gross) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,0980: School enrollment; tertiary; male  (% gross) - WDI
0379: Electric power consumption  (kWh per capita) - WDI,0835: GNI per capita; PPP  (current international $) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,1033: Improved water source; rural  (% of rural population with access) - WDI
1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,0979: School enrollment; tertiary; female  (% gross) - WDI,0004: Agricultural land  (sq. km) - WDI,1028: Mortality rate; under-5  (per 1;000 live births) - WDI
0830: GNI per capita; Atlas method  (current US$) - WDI,1350: Share of tariff lines with specific rates; primary products  (%) - WDI,0571: Time to import  (days) - WDI,0767: Adjusted savings: consumption of fixed capital  (% of GNI) - WDI
0643: Internet users  (per 100 people) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0953: School enrollment; secondary; female  (% gross) - WDI,1362: Merchandise imports from high-income economies  (% of total merchandise imports) - WDI
1899: Percentage of Individuals using the Internet (%) - ITU,1289: Survival to age 65; female  (% of cohort) - WDI,1021: Number of infant deaths - WDI,1035: Improved water source  (% of population with access) - WDI
1035: Improved water source  (% of population with access) - WDI,1300: Age dependency ratio; young  (% of working-age population) - WDI,0553: Time to export  (days) - WDI,0759: Services; etc.; value added  (% of GDP) - WDI
