2713-All-N-MIC,2713-All-N-FST,2713-All-P-MIC,2713-All-P-FST,2713-Ext-N-MIC,2713-Ext-N-FST,2713-Ext-P-MIC,2713-Ext-P-FST
1338: Bound rate; simple mean; all products  (%) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,2708: Demographic Pressures - Fund for Peace,2704: Corruption perceptions index - Transparency,1098: Health expenditure per capita  (current US$) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,1904: Total density per million population: Radiotherapy units - WHO,2810: Balance of Payments-Exports-Computer services (US dollar at current prices) - WTO
0832: GNI per capita  (constant 2005 US$) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,0832: GNI per capita  (constant 2005 US$) - WDI,0082: Listed domestic companies; total - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,2718: External Intervention - Fund for Peace,1098: Health expenditure per capita  (current US$) - WDI,1176: Child employment in manufacturing  (% of economically active children ages 7-14) - WDI
1330: Bound rate; simple mean; manufactured products  (%) - WDI,2711: Uneven Development - Fund for Peace,1904: Total density per million population: Radiotherapy units - WHO,2810: Balance of Payments-Exports-Computer services (US dollar at current prices) - WTO,1904: Total density per million population: Radiotherapy units - WHO,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1454: Employee compensation by activity - TOT (PC_GVA) - OECD
2708: Demographic Pressures - Fund for Peace,0643: Internet users  (per 100 people) - WDI,1098: Health expenditure per capita  (current US$) - WDI,1176: Child employment in manufacturing  (% of economically active children ages 7-14) - WDI,1285: Life expectancy at birth; female  (years) - WDI,0636: Mobile cellular subscriptions  (per 100 people) - WDI,1285: Life expectancy at birth; female  (years) - WDI,2714: Public Services - Fund for Peace
0781: Adjusted net national income per capita  (current US$) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1454: Employee compensation by activity - TOT (PC_GVA) - OECD,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,1098: Health expenditure per capita  (current US$) - WDI,1414: Account at a financial institution; female  (% age 15+) - WDI,2794: Balance of Payments-Exports-Telecommunications; computer; and information services (US dollar at current prices) - WTO
1098: Health expenditure per capita  (current US$) - WDI,2718: External Intervention - Fund for Peace,0640: Fixed broadband subscriptions  (per 100 people) - WDI,2714: Public Services - Fund for Peace,2714: Public Services - Fund for Peace,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI
1346: Bound rate; simple mean; primary products  (%) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,1285: Life expectancy at birth; female  (years) - WDI,2794: Balance of Payments-Exports-Telecommunications; computer; and information services (US dollar at current prices) - WTO,1412: Account at a financial institution  (% age 15+) - WDI,1904: Total density per million population: Radiotherapy units - WHO,0643: Internet users  (per 100 people) - WDI,2708: Demographic Pressures - Fund for Peace
1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,0636: Mobile cellular subscriptions  (per 100 people) - WDI,1414: Account at a financial institution; female  (% age 15+) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI,1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI,1895: Mobile-cellular telephone subscriptions - ITU,1338: Bound rate; simple mean; all products  (%) - WDI,1174: Child employment in manufacturing; female  (% of female economically active children ages 7-14) - WDI
0640: Fixed broadband subscriptions  (per 100 people) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,2708: Demographic Pressures - Fund for Peace,0894: Primary completion rate; total  (% of relevant age group) - WDI,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI
1414: Account at a financial institution; female  (% age 15+) - WDI,1098: Health expenditure per capita  (current US$) - WDI,1412: Account at a financial institution  (% age 15+) - WDI,1174: Child employment in manufacturing; female  (% of female economically active children ages 7-14) - WDI,0643: Internet users  (per 100 people) - WDI,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,1413: Account at a financial institution; male  (% age 15+) - WDI,0308: PPG; bonds  (NTR; current US$) - WDI
1904: Total density per million population: Radiotherapy units - WHO,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0643: Internet users  (per 100 people) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,2718: External Intervention - Fund for Peace
1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1904: Total density per million population: Radiotherapy units - WHO,1338: Bound rate; simple mean; all products  (%) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,2711: Uneven Development - Fund for Peace
1285: Life expectancy at birth; female  (years) - WDI,1895: Mobile-cellular telephone subscriptions - ITU,1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI,0308: PPG; bonds  (NTR; current US$) - WDI,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,0490: Claims on other sectors of the domestic economy  (% of GDP) - WDI,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI
0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,1899: Percentage of Individuals using the Internet (%) - ITU,2718: External Intervention - Fund for Peace,0978: School enrollment; tertiary  (% gross) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,2714: Public Services - Fund for Peace,0945: Secondary education; general pupils - WDI
2714: Public Services - Fund for Peace,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,1413: Account at a financial institution; male  (% age 15+) - WDI,2711: Uneven Development - Fund for Peace,0830: GNI per capita; Atlas method  (current US$) - WDI,2710: Group Grievance - Fund for Peace,0954: School enrollment; secondary; male  (% gross) - WDI,2709: Refugees and IDPs - Fund for Peace
1412: Account at a financial institution  (% age 15+) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,2711: Uneven Development - Fund for Peace,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,1952: Number of neonatal deaths (thousands) - WHO
1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,0945: Secondary education; general pupils - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI
0894: Primary completion rate; total  (% of relevant age group) - WDI,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,0490: Claims on other sectors of the domestic economy  (% of GDP) - WDI,2709: Refugees and IDPs - Fund for Peace,2823: Balance of Payments-Imports-Personal; cultural; and recreational services (US dollar at current prices) - WTO,0810: GDP per capita  (constant 2005 US$) - WDI,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI
0643: Internet users  (per 100 people) - WDI,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,2714: Public Services - Fund for Peace,1952: Number of neonatal deaths (thousands) - WHO,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,1971: Per capita total expenditure on health (PPP int. $) - WHO,0808: GDP per capita  (current US$) - WDI,2811: Balance of Payments-Exports-Information services (US dollar at current prices) - WTO
1899: Percentage of Individuals using the Internet (%) - ITU,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,0954: School enrollment; secondary; male  (% gross) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,0490: Claims on other sectors of the domestic economy  (% of GDP) - WDI,2827: Public social protection expenditure as a percent of GDP in function of health care/ Coverage = Including health care (Units Percentage) - ILO,0953: School enrollment; secondary; female  (% gross) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU
0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,2710: Group Grievance - Fund for Peace,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0952: School enrollment; secondary  (% gross) - WDI,2712: Poverty and Economic Decline - Fund for Peace,0978: School enrollment; tertiary  (% gross) - WDI,1025: Number of neonatal deaths - WDI
1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,2811: Balance of Payments-Exports-Information services (US dollar at current prices) - WTO,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,1098: Health expenditure per capita  (current US$) - WDI
1413: Account at a financial institution; male  (% age 15+) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,0952: School enrollment; secondary  (% gross) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,0808: GDP per capita  (current US$) - WDI,2719: Human Flight - Fund for Peace,1330: Bound rate; simple mean; manufactured products  (%) - WDI,1023: Number of under-five deaths - WDI
0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,0643: Internet users  (per 100 people) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,2711: Uneven Development - Fund for Peace,0625: Burden of customs procedure; WEF  (1=extremely inefficient to 7=extremely efficient) - WDI
0954: School enrollment; secondary; male  (% gross) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,0808: GDP per capita  (current US$) - WDI,1025: Number of neonatal deaths - WDI,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,0642: Secure Internet servers  (per 1 million people) - WDI,1343: Tariff rate; applied; weighted mean; all products  (%) - WDI,1021: Number of infant deaths - WDI
0978: School enrollment; tertiary  (% gross) - WDI,1971: Per capita total expenditure on health (PPP int. $) - WHO,0810: GDP per capita  (constant 2005 US$) - WDI,1098: Health expenditure per capita  (current US$) - WDI,1332: Tariff rate; applied; simple mean; manufactured products  (%) - WDI,0649: Logistics performance index: Competence and quality of logistics services  (1=low to 5=high) - WDI,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,1904: Total density per million population: Radiotherapy units - WHO
0830: GNI per capita; Atlas method  (current US$) - WDI,2827: Public social protection expenditure as a percent of GDP in function of health care/ Coverage = Including health care (Units Percentage) - ILO,0953: School enrollment; secondary; female  (% gross) - WDI,1023: Number of under-five deaths - WDI,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,0498: Central government debt; total  (current LCU) - WDI
2711: Uneven Development - Fund for Peace,2712: Poverty and Economic Decline - Fund for Peace,0978: School enrollment; tertiary  (% gross) - WDI,0625: Burden of customs procedure; WEF  (1=extremely inefficient to 7=extremely efficient) - WDI,1284: Mortality rate; infant; male  (per 1;000 live births) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1336: Tariff rate; most favored nation; weighted mean; manufactured products  (%) - WDI,2710: Group Grievance - Fund for Peace
0810: GDP per capita  (constant 2005 US$) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,1021: Number of infant deaths - WDI,1286: Life expectancy at birth; total  (years) - WDI,1016: Prevalence of anemia among children  (% of children under 5) - WDI,2718: External Intervention - Fund for Peace,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI
2823: Balance of Payments-Imports-Personal; cultural; and recreational services (US dollar at current prices) - WTO,1946: Per capita government expenditure on health (PPP int. $) - WHO,1330: Bound rate; simple mean; manufactured products  (%) - WDI,1904: Total density per million population: Radiotherapy units - WHO,1289: Survival to age 65; female  (% of cohort) - WDI,1335: Tariff rate; applied; weighted mean; manufactured products  (%) - WDI,2823: Balance of Payments-Imports-Personal; cultural; and recreational services (US dollar at current prices) - WTO,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI
0353: Agriculture value added per worker  (constant 2005 US$) - WDI,2719: Human Flight - Fund for Peace,2711: Uneven Development - Fund for Peace,0498: Central government debt; total  (current LCU) - WDI,1028: Mortality rate; under-5  (per 1;000 live births) - WDI,1332: Tariff rate; applied; simple mean; manufactured products  (%) - WDI,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,0943: Secondary education; pupils - WDI
0490: Claims on other sectors of the domestic economy  (% of GDP) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,1343: Tariff rate; applied; weighted mean; all products  (%) - WDI,2710: Group Grievance - Fund for Peace,2718: External Intervention - Fund for Peace,1028: Mortality rate; under-5  (per 1;000 live births) - WDI,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI
0952: School enrollment; secondary  (% gross) - WDI,0642: Secure Internet servers  (per 1 million people) - WDI,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,1030: Mortality rate; under-5; male  (per 1;000 live births) - WDI,1284: Mortality rate; infant; male  (per 1;000 live births) - WDI,1346: Bound rate; simple mean; primary products  (%) - WDI,0642: Secure Internet servers  (per 1 million people) - WDI
0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,0649: Logistics performance index: Competence and quality of logistics services  (1=low to 5=high) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,1016: Prevalence of anemia among children  (% of children under 5) - WDI,1340: Tariff rate; applied; simple mean; all products  (%) - WDI,1344: Tariff rate; most favored nation; weighted mean; all products  (%) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI
0808: GDP per capita  (current US$) - WDI,1955: Per capita total expenditure on health at average exchange rate (US$) - WHO,1336: Tariff rate; most favored nation; weighted mean; manufactured products  (%) - WDI,0943: Secondary education; pupils - WDI,1343: Tariff rate; applied; weighted mean; all products  (%) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI,1286: Life expectancy at birth; total  (years) - WDI,0080: Market capitalization of listed domestic companies  (current US$) - WDI
0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,2718: External Intervention - Fund for Peace,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,0649: Logistics performance index: Competence and quality of logistics services  (1=low to 5=high) - WDI,1339: Share of tariff lines with international peaks; all products  (%) - WDI,1348: Tariff rate; applied; simple mean; primary products  (%) - WDI,1284: Mortality rate; infant; male  (per 1;000 live births) - WDI
0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,0808: GDP per capita  (current US$) - WDI,2823: Balance of Payments-Imports-Personal; cultural; and recreational services (US dollar at current prices) - WTO,0642: Secure Internet servers  (per 1 million people) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI,0571: Time to import  (days) - WDI,1289: Survival to age 65; female  (% of cohort) - WDI,1712: Net national income - TOT (MLN_USD) - OECD
1332: Tariff rate; applied; simple mean; manufactured products  (%) - WDI,1299: Age dependency ratio; old  (% of working-age population) - WDI,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,0571: Time to import  (days) - WDI,1029: Mortality rate; under-5; female  (per 1;000 live births) - WDI,,1414: Account at a financial institution; female  (% age 15+) - WDI
0953: School enrollment; secondary; female  (% gross) - WDI,2709: Refugees and IDPs - Fund for Peace,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,0080: Market capitalization of listed domestic companies  (current US$) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0736: Agriculture; value added  (% of GDP) - WDI,,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI
0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,1297: Population ages 65 and above  (% of total) - WDI,1346: Bound rate; simple mean; primary products  (%) - WDI,1284: Mortality rate; infant; male  (per 1;000 live births) - WDI,0759: Services; etc.; value added  (% of GDP) - WDI,1057: Number of surgical procedures  (per 100;000 population) - WDI,,1282: Mortality rate; infant; female  (per 1;000 live births) - WDI
