1954-All-N-MIC,1954-All-N-FST,1954-All-P-MIC,1954-All-P-FST,1954-Ext-N-MIC,1954-Ext-N-FST,1954-Ext-P-MIC,1954-Ext-P-FST
0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,0380: Energy use  (kg of oil equivalent per capita) - WDI,1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI,0643: Internet users  (per 100 people) - WDI,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,1895: Mobile-cellular telephone subscriptions - ITU
0781: Adjusted net national income per capita  (current US$) - WDI,0380: Energy use  (kg of oil equivalent per capita) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,1029: Mortality rate; under-5; female  (per 1;000 live births) - WDI,0379: Electric power consumption  (kWh per capita) - WDI,1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI,2712: Poverty and Economic Decline - Fund for Peace
0830: GNI per capita; Atlas method  (current US$) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,2704: Corruption perceptions index - Transparency,1899: Percentage of Individuals using the Internet (%) - ITU,0643: Internet users  (per 100 people) - WDI
0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1098: Health expenditure per capita  (current US$) - WDI,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,1413: Account at a financial institution; male  (% age 15+) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,1029: Mortality rate; under-5; female  (per 1;000 live births) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI
1098: Health expenditure per capita  (current US$) - WDI,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0388: CO2 emissions  (metric tons per capita) - WDI,1268: International migrant stock  (% of population) - WDI,1916: Total density per million population: Computed tomography units - WHO,2719: Human Flight - Fund for Peace,1412: Account at a financial institution  (% age 15+) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU
0388: CO2 emissions  (metric tons per capita) - WDI,1268: International migrant stock  (% of population) - WDI,0379: Electric power consumption  (kWh per capita) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,2707: Failed States Index Total - Fund for Peace,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,2704: Corruption perceptions index - Transparency
0379: Electric power consumption  (kWh per capita) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI,0736: Agriculture; value added  (% of GDP) - WDI,0379: Electric power consumption  (kWh per capita) - WDI,2714: Public Services - Fund for Peace,1098: Health expenditure per capita  (current US$) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI
0380: Energy use  (kg of oil equivalent per capita) - WDI,2714: Public Services - Fund for Peace,0380: Energy use  (kg of oil equivalent per capita) - WDI,2714: Public Services - Fund for Peace,1095: External resources for health  (% of total expenditure on health) - WDI,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,1028: Mortality rate; under-5  (per 1;000 live births) - WDI,2719: Human Flight - Fund for Peace
0736: Agriculture; value added  (% of GDP) - WDI,0636: Mobile cellular subscriptions  (per 100 people) - WDI,0374: Access to non-solid fuel  (% of population) - WDI,0636: Mobile cellular subscriptions  (per 100 people) - WDI,1282: Mortality rate; infant; female  (per 1;000 live births) - WDI,2708: Demographic Pressures - Fund for Peace,1968: Population median age (years) - WHO,1971: Per capita total expenditure on health (PPP int. $) - WHO
1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,1895: Mobile-cellular telephone subscriptions - ITU,1413: Account at a financial institution; male  (% age 15+) - WDI,1895: Mobile-cellular telephone subscriptions - ITU,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO,1283: Mortality rate; infant  (per 1;000 live births) - WDI,2708: Demographic Pressures - Fund for Peace
0374: Access to non-solid fuel  (% of population) - WDI,2712: Poverty and Economic Decline - Fund for Peace,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,2712: Poverty and Economic Decline - Fund for Peace,1412: Account at a financial institution  (% age 15+) - WDI,1315: Urban population  (% of total) - WDI,0372: Access to non-solid fuel; rural  (% of rural population) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU
0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,0643: Internet users  (per 100 people) - WDI,0636: Mobile cellular subscriptions  (per 100 people) - WDI,1971: Per capita total expenditure on health (PPP int. $) - WHO,1916: Total density per million population: Computed tomography units - WHO,1946: Per capita government expenditure on health (PPP int. $) - WHO
1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,1895: Mobile-cellular telephone subscriptions - ITU,1312: Rural population  (% of total population) - WDI,2714: Public Services - Fund for Peace,2707: Failed States Index Total - Fund for Peace
1029: Mortality rate; under-5; female  (per 1;000 live births) - WDI,0643: Internet users  (per 100 people) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,1283: Mortality rate; infant  (per 1;000 live births) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI,1282: Mortality rate; infant; female  (per 1;000 live births) - WDI,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI
1899: Percentage of Individuals using the Internet (%) - ITU,1899: Percentage of Individuals using the Internet (%) - ITU,0643: Internet users  (per 100 people) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,1284: Mortality rate; infant; male  (per 1;000 live births) - WDI,2718: External Intervention - Fund for Peace,1095: External resources for health  (% of total expenditure on health) - WDI,1098: Health expenditure per capita  (current US$) - WDI
1413: Account at a financial institution; male  (% age 15+) - WDI,0379: Electric power consumption  (kWh per capita) - WDI,1029: Mortality rate; under-5; female  (per 1;000 live births) - WDI,2704: Corruption perceptions index - Transparency,1030: Mortality rate; under-5; male  (per 1;000 live births) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,0636: Mobile cellular subscriptions  (per 100 people) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI
1916: Total density per million population: Computed tomography units - WHO,2704: Corruption perceptions index - Transparency,1412: Account at a financial institution  (% age 15+) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,1035: Improved water source  (% of population with access) - WDI,0651: Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time  (1=low to 5=high) - WDI,1035: Improved water source  (% of population with access) - WDI,1315: Urban population  (% of total) - WDI
0643: Internet users  (per 100 people) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,2719: Human Flight - Fund for Peace,1289: Survival to age 65; female  (% of cohort) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,1312: Rural population  (% of total population) - WDI
0638: Fixed telephone subscriptions  (per 100 people) - WDI,2719: Human Flight - Fund for Peace,0638: Fixed telephone subscriptions  (per 100 people) - WDI,1971: Per capita total expenditure on health (PPP int. $) - WHO,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI
2714: Public Services - Fund for Peace,2707: Failed States Index Total - Fund for Peace,1028: Mortality rate; under-5  (per 1;000 live births) - WDI,2708: Demographic Pressures - Fund for Peace,1058: Improved sanitation facilities  (% of population with access) - WDI,1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,1895: Mobile-cellular telephone subscriptions - ITU,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI
1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1098: Health expenditure per capita  (current US$) - WDI,1968: Population median age (years) - WHO,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,2792: Balance of Payments-Exports-Financial services (US dollar at current prices) - WTO,2706: Failed States Index Rank - Fund for Peace,1284: Mortality rate; infant; male  (per 1;000 live births) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI
1095: External resources for health  (% of total expenditure on health) - WDI,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,0671: Household final consumption expenditure; etc.  (% of GDP) - WDI,2712: Poverty and Economic Decline - Fund for Peace,1413: Account at a financial institution; male  (% age 15+) - WDI
1282: Mortality rate; infant; female  (per 1;000 live births) - WDI,2708: Demographic Pressures - Fund for Peace,0372: Access to non-solid fuel; rural  (% of rural population) - WDI,2707: Failed States Index Total - Fund for Peace,1286: Life expectancy at birth; total  (years) - WDI,1296: Population ages 15-64  (% of total) - WDI,1924: Psychiatrists working in mental health sector (per 100;000) - WHO,0640: Fixed broadband subscriptions  (per 100 people) - WDI
1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO,1916: Total density per million population: Computed tomography units - WHO,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,2712: Poverty and Economic Decline - Fund for Peace,1290: Survival to age 65; male  (% of cohort) - WDI,1289: Survival to age 65; female  (% of cohort) - WDI,2706: Failed States Index Rank - Fund for Peace
1412: Account at a financial institution  (% age 15+) - WDI,1315: Urban population  (% of total) - WDI,2714: Public Services - Fund for Peace,1098: Health expenditure per capita  (current US$) - WDI,1059: Improved sanitation facilities; rural  (% of rural population with access) - WDI,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,1030: Mortality rate; under-5; male  (per 1;000 live births) - WDI,0651: Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time  (1=low to 5=high) - WDI
1028: Mortality rate; under-5  (per 1;000 live births) - WDI,1971: Per capita total expenditure on health (PPP int. $) - WHO,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,0638: Fixed telephone subscriptions  (per 100 people) - WDI,0372: Access to non-solid fuel; rural  (% of rural population) - WDI,0649: Logistics performance index: Competence and quality of logistics services  (1=low to 5=high) - WDI,1058: Improved sanitation facilities  (% of population with access) - WDI,1296: Population ages 15-64  (% of total) - WDI
0636: Mobile cellular subscriptions  (per 100 people) - WDI,1312: Rural population  (% of total population) - WDI,1282: Mortality rate; infant; female  (per 1;000 live births) - WDI,1315: Urban population  (% of total) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI,0652: Logistics performance index: Ability to track and trace consignments  (1=low to 5=high) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI,0652: Logistics performance index: Ability to track and trace consignments  (1=low to 5=high) - WDI
1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,0640: Fixed broadband subscriptions  (per 100 people) - WDI,1095: External resources for health  (% of total expenditure on health) - WDI,1312: Rural population  (% of total population) - WDI,1924: Psychiatrists working in mental health sector (per 100;000) - WHO,1413: Account at a financial institution; male  (% age 15+) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU
1895: Mobile-cellular telephone subscriptions - ITU,2718: External Intervention - Fund for Peace,0636: Mobile cellular subscriptions  (per 100 people) - WDI,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,1276: Mortality rate; adult; female  (per 1;000 female adults) - WDI,1287: Life expectancy at birth; male  (years) - WDI,1286: Life expectancy at birth; total  (years) - WDI,0649: Logistics performance index: Competence and quality of logistics services  (1=low to 5=high) - WDI
1283: Mortality rate; infant  (per 1;000 live births) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1035: Improved water source  (% of population with access) - WDI,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,1298: Age dependency ratio  (% of working-age population) - WDI,0898: Pupil-teacher ratio; primary - WDI,
1284: Mortality rate; infant; male  (per 1;000 live births) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,0898: Pupil-teacher ratio; primary - WDI,1305: Population; female  (% of total) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,
1030: Mortality rate; under-5; male  (per 1;000 live births) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,1413: Account at a financial institution; male  (% age 15+) - WDI,1051: Lifetime risk of maternal death  (%) - WDI,1955: Per capita total expenditure on health at average exchange rate (US$) - WHO,1051: Lifetime risk of maternal death  (%) - WDI,
1035: Improved water source  (% of population with access) - WDI,0651: Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time  (1=low to 5=high) - WDI,1895: Mobile-cellular telephone subscriptions - ITU,0640: Fixed broadband subscriptions  (per 100 people) - WDI,1295: Population ages 0-14  (% of total) - WDI,2716: Security Apparatus - Fund for Peace,1059: Improved sanitation facilities; rural  (% of rural population with access) - WDI,
1289: Survival to age 65; female  (% of cohort) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,1284: Mortality rate; infant; male  (per 1;000 live births) - WDI,2706: Failed States Index Rank - Fund for Peace,1285: Life expectancy at birth; female  (years) - WDI,2711: Uneven Development - Fund for Peace,1071: Maternal mortality ratio  (modeled estimate; per 100;000 live births) - WDI,
1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,2712: Poverty and Economic Decline - Fund for Peace,0651: Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time  (1=low to 5=high) - WDI,1300: Age dependency ratio; young  (% of working-age population) - WDI,1059: Improved sanitation facilities; rural  (% of rural population with access) - WDI,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,
1058: Improved sanitation facilities  (% of population with access) - WDI,1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,1924: Psychiatrists working in mental health sector (per 100;000) - WHO,1296: Population ages 15-64  (% of total) - WDI,1071: Maternal mortality ratio  (modeled estimate; per 100;000 live births) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,1295: Population ages 0-14  (% of total) - WDI,
2792: Balance of Payments-Exports-Financial services (US dollar at current prices) - WTO,2706: Failed States Index Rank - Fund for Peace,1289: Survival to age 65; female  (% of cohort) - WDI,0652: Logistics performance index: Ability to track and trace consignments  (1=low to 5=high) - WDI,0773: Adjusted savings: particulate emission damage  (% of GNI) - WDI,1412: Account at a financial institution  (% age 15+) - WDI,1276: Mortality rate; adult; female  (per 1;000 female adults) - WDI,
0353: Agriculture value added per worker  (constant 2005 US$) - WDI,0671: Household final consumption expenditure; etc.  (% of GDP) - WDI,1030: Mortality rate; under-5; male  (per 1;000 live births) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1287: Life expectancy at birth; male  (years) - WDI,1295: Population ages 0-14  (% of total) - WDI,1300: Age dependency ratio; young  (% of working-age population) - WDI,
1286: Life expectancy at birth; total  (years) - WDI,1296: Population ages 15-64  (% of total) - WDI,1058: Improved sanitation facilities  (% of population with access) - WDI,0649: Logistics performance index: Competence and quality of logistics services  (1=low to 5=high) - WDI,0320: Net ODA received  (% of GNI) - WDI,1058: Improved sanitation facilities  (% of population with access) - WDI,1904: Total density per million population: Radiotherapy units - WHO,
2712: Poverty and Economic Decline - Fund for Peace,1290: Survival to age 65; male  (% of cohort) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI,,0954: School enrollment; secondary; male  (% gross) - WDI,,1285: Life expectancy at birth; female  (years) - WDI,
