2718-All-N-MIC,2718-All-N-FST,2718-All-P-MIC,2718-All-P-FST,2718-Ext-N-MIC,2718-Ext-N-FST,2718-Ext-P-MIC,2718-Ext-P-FST
0814: GDP per capita; PPP  (constant 2011 international $) - WDI,2719: Human Flight - Fund for Peace,1414: Account at a financial institution; female  (% age 15+) - WDI,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,0643: Internet users  (per 100 people) - WDI,1968: Population median age (years) - WHO,1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI
0813: GDP per capita; PPP  (current international $) - WDI,2710: Group Grievance - Fund for Peace,0810: GDP per capita  (constant 2005 US$) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,0649: Logistics performance index: Competence and quality of logistics services  (1=low to 5=high) - WDI,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,2719: Human Flight - Fund for Peace
0810: GDP per capita  (constant 2005 US$) - WDI,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0374: Access to non-solid fuel  (% of population) - WDI,2709: Refugees and IDPs - Fund for Peace,1968: Population median age (years) - WHO,0697: Exports of goods and services  (current US$) - WDI
0835: GNI per capita; PPP  (current international $) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,2719: Human Flight - Fund for Peace,2817: Balance of Payments-Imports-Charges for the use of intellectual property n.i.e. (US dollar at current prices) - WTO,0830: GNI per capita; Atlas method  (current US$) - WDI,0736: Agriculture; value added  (% of GDP) - WDI,2710: Group Grievance - Fund for Peace
1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI,1968: Population median age (years) - WHO,1954: Gross national income per capita (PPP int. $) - WHO,0697: Exports of goods and services  (current US$) - WDI,1968: Population median age (years) - WHO,2715: Human Rights - Fund for Peace,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,2704: Corruption perceptions index - Transparency
0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,0649: Logistics performance index: Competence and quality of logistics services  (1=low to 5=high) - WDI,0835: GNI per capita; PPP  (current international $) - WDI,2710: Group Grievance - Fund for Peace,0037: Charges for the use of intellectual property; payments  (BoP; current US$) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,0322: Net ODA received  (% of imports of goods; services and primary income) - WDI
1954: Gross national income per capita (PPP int. $) - WHO,2709: Refugees and IDPs - Fund for Peace,0643: Internet users  (per 100 people) - WDI,1899: Percentage of Individuals using the Internet (%) - ITU,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,0636: Mobile cellular subscriptions  (per 100 people) - WDI,2817: Balance of Payments-Imports-Charges for the use of intellectual property n.i.e. (US dollar at current prices) - WTO,2709: Refugees and IDPs - Fund for Peace
1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,1904: Total density per million population: Radiotherapy units - WHO,0699: Exports of goods and services  (constant 2005 US$) - WDI,2816: Balance of Payments-Imports-Financial services (US dollar at current prices) - WTO,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,0642: Secure Internet servers  (per 1 million people) - WDI,0648: Logistics performance index: Ease of arranging competitively priced shipments  (1=low to 5=high) - WDI
0353: Agriculture value added per worker  (constant 2005 US$) - WDI,2715: Human Rights - Fund for Peace,1899: Percentage of Individuals using the Internet (%) - ITU,2704: Corruption perceptions index - Transparency,0736: Agriculture; value added  (% of GDP) - WDI,0571: Time to import  (days) - WDI,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,0063: Exports of goods and services  (BoP; current US$) - WDI
0643: Internet users  (per 100 people) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,0322: Net ODA received  (% of imports of goods; services and primary income) - WDI,0652: Logistics performance index: Ability to track and trace consignments  (1=low to 5=high) - WDI,0652: Logistics performance index: Ability to track and trace consignments  (1=low to 5=high) - WDI,2816: Balance of Payments-Imports-Financial services (US dollar at current prices) - WTO,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI
1899: Percentage of Individuals using the Internet (%) - ITU,0636: Mobile cellular subscriptions  (per 100 people) - WDI,1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI,2709: Refugees and IDPs - Fund for Peace,0952: School enrollment; secondary  (% gross) - WDI,1098: Health expenditure per capita  (current US$) - WDI,0652: Logistics performance index: Ability to track and trace consignments  (1=low to 5=high) - WDI,1904: Total density per million population: Radiotherapy units - WHO
1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,0648: Logistics performance index: Ease of arranging competitively priced shipments  (1=low to 5=high) - WDI,1904: Total density per million population: Radiotherapy units - WHO,0808: GDP per capita  (current US$) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,0720: Imports of goods and services  (current US$) - WDI
0374: Access to non-solid fuel  (% of population) - WDI,0571: Time to import  (days) - WDI,1968: Population median age (years) - WHO,0063: Exports of goods and services  (BoP; current US$) - WDI,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,1968: Population median age (years) - WHO
2817: Balance of Payments-Imports-Charges for the use of intellectual property n.i.e. (US dollar at current prices) - WTO,0652: Logistics performance index: Ability to track and trace consignments  (1=low to 5=high) - WDI,0736: Agriculture; value added  (% of GDP) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,0032: Primary income payments  (BoP; current US$) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI,1895: Mobile-cellular telephone subscriptions - ITU,2715: Human Rights - Fund for Peace
1968: Population median age (years) - WHO,1098: Health expenditure per capita  (current US$) - WDI,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,1904: Total density per million population: Radiotherapy units - WHO,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,1904: Total density per million population: Radiotherapy units - WHO,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI
0037: Charges for the use of intellectual property; payments  (BoP; current US$) - WDI,0808: GDP per capita  (current US$) - WDI,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,0720: Imports of goods and services  (current US$) - WDI,1030: Mortality rate; under-5; male  (per 1;000 live births) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0062: Primary income receipts  (BoP; current US$) - WDI,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI
0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,2817: Balance of Payments-Imports-Charges for the use of intellectual property n.i.e. (US dollar at current prices) - WTO,1968: Population median age (years) - WHO,0372: Access to non-solid fuel; rural  (% of rural population) - WDI,1895: Mobile-cellular telephone subscriptions - ITU,0641: Secure Internet servers - WDI,2725: Merchandise trade-Imports-Agricultural products (US dollar at current prices) - WTO
2816: Balance of Payments-Imports-Financial services (US dollar at current prices) - WTO,0640: Fixed broadband subscriptions  (per 100 people) - WDI,0642: Secure Internet servers  (per 1 million people) - WDI,2715: Human Rights - Fund for Peace,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,0374: Access to non-solid fuel  (% of population) - WDI,1284: Mortality rate; infant; male  (per 1;000 live births) - WDI
0736: Agriculture; value added  (% of GDP) - WDI,1904: Total density per million population: Radiotherapy units - WHO,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,0636: Mobile cellular subscriptions  (per 100 people) - WDI,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,0037: Charges for the use of intellectual property; payments  (BoP; current US$) - WDI,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI
0652: Logistics performance index: Ability to track and trace consignments  (1=low to 5=high) - WDI,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,2816: Balance of Payments-Imports-Financial services (US dollar at current prices) - WTO,0722: Imports of goods and services  (constant 2005 US$) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0649: Logistics performance index: Competence and quality of logistics services  (1=low to 5=high) - WDI,0649: Logistics performance index: Competence and quality of logistics services  (1=low to 5=high) - WDI
0952: School enrollment; secondary  (% gross) - WDI,1895: Mobile-cellular telephone subscriptions - ITU,0652: Logistics performance index: Ability to track and trace consignments  (1=low to 5=high) - WDI,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,1402: Commercial service exports  (current US$) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,0952: School enrollment; secondary  (% gross) - WDI,0033: Imports of goods and services  (BoP; current US$) - WDI
1904: Total density per million population: Radiotherapy units - WHO,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,2725: Merchandise trade-Imports-Agricultural products (US dollar at current prices) - WTO,0062: Primary income receipts  (BoP; current US$) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,1924: Psychiatrists working in mental health sector (per 100;000) - WHO,0652: Logistics performance index: Ability to track and trace consignments  (1=low to 5=high) - WDI
0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,1284: Mortality rate; infant; male  (per 1;000 live births) - WDI,0651: Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time  (1=low to 5=high) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,1286: Life expectancy at birth; total  (years) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI
0032: Primary income payments  (BoP; current US$) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,1895: Mobile-cellular telephone subscriptions - ITU,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,2711: Uneven Development - Fund for Peace,1300: Age dependency ratio; young  (% of working-age population) - WDI,0038: Imports of goods; services and primary income  (BoP; current US$) - WDI
0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,0636: Mobile cellular subscriptions  (per 100 people) - WDI,0649: Logistics performance index: Competence and quality of logistics services  (1=low to 5=high) - WDI,1895: Mobile-cellular telephone subscriptions - ITU,0651: Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time  (1=low to 5=high) - WDI,1299: Age dependency ratio; old  (% of working-age population) - WDI,1282: Mortality rate; infant; female  (per 1;000 live births) - WDI
1030: Mortality rate; under-5; male  (per 1;000 live births) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI,0641: Secure Internet servers - WDI,0642: Secure Internet servers  (per 1 million people) - WDI,1035: Improved water source  (% of population with access) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI
0372: Access to non-solid fuel; rural  (% of rural population) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,1903: Cellular subscribers (per 100 population) - WHO,0033: Imports of goods and services  (BoP; current US$) - WDI,0642: Secure Internet servers  (per 1 million people) - WDI,0648: Logistics performance index: Ease of arranging competitively priced shipments  (1=low to 5=high) - WDI,1056: Risk of impoverishing expenditure for surgical care  (% of people at risk) - WDI,0651: Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time  (1=low to 5=high) - WDI
0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,0062: Primary income receipts  (BoP; current US$) - WDI,0652: Logistics performance index: Ability to track and trace consignments  (1=low to 5=high) - WDI,0978: School enrollment; tertiary  (% gross) - WDI,1414: Account at a financial institution; female  (% age 15+) - WDI,0032: Primary income payments  (BoP; current US$) - WDI,2748: Merchandise trade-Exports-Integrated circuits and electronic components (US dollar at current prices) - WTO
0636: Mobile cellular subscriptions  (per 100 people) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,0641: Secure Internet servers - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI,1295: Population ages 0-14  (% of total) - WDI,0640: Fixed broadband subscriptions  (per 100 people) - WDI,0355: Access to electricity; rural  (% of rural population) - WDI
1167: GDP per person employed  (constant 2011 PPP $) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,0374: Access to non-solid fuel  (% of population) - WDI,0038: Imports of goods; services and primary income  (BoP; current US$) - WDI,0649: Logistics performance index: Competence and quality of logistics services  (1=low to 5=high) - WDI,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,0059: ICT service exports  (BoP; current US$) - WDI,0066: Service exports  (BoP; current US$) - WDI
1402: Commercial service exports  (current US$) - WDI,2711: Uneven Development - Fund for Peace,0037: Charges for the use of intellectual property; payments  (BoP; current US$) - WDI,1282: Mortality rate; infant; female  (per 1;000 live births) - WDI,1300: Age dependency ratio; young  (% of working-age population) - WDI,1971: Per capita total expenditure on health (PPP int. $) - WHO,1051: Lifetime risk of maternal death  (%) - WDI,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI
0062: Primary income receipts  (BoP; current US$) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI,0649: Logistics performance index: Competence and quality of logistics services  (1=low to 5=high) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,1924: Psychiatrists working in mental health sector (per 100;000) - WHO,0553: Time to export  (days) - WDI,1295: Population ages 0-14  (% of total) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU
0651: Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time  (1=low to 5=high) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,0952: School enrollment; secondary  (% gross) - WDI,0651: Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time  (1=low to 5=high) - WDI,0059: ICT service exports  (BoP; current US$) - WDI,1412: Account at a financial institution  (% age 15+) - WDI,1282: Mortality rate; infant; female  (per 1;000 live births) - WDI,1903: Cellular subscribers (per 100 population) - WHO
1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,0651: Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time  (1=low to 5=high) - WDI,1924: Psychiatrists working in mental health sector (per 100;000) - WHO,2748: Merchandise trade-Exports-Integrated circuits and electronic components (US dollar at current prices) - WTO,1284: Mortality rate; infant; male  (per 1;000 live births) - WDI,1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI,2712: Poverty and Economic Decline - Fund for Peace,1035: Improved water source  (% of population with access) - WDI
1895: Mobile-cellular telephone subscriptions - ITU,0642: Secure Internet servers  (per 1 million people) - WDI,1286: Life expectancy at birth; total  (years) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1282: Mortality rate; infant; female  (per 1;000 live births) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,0978: School enrollment; tertiary  (% gross) - WDI,0954: School enrollment; secondary; male  (% gross) - WDI
