2704-All-N-MIC,2704-All-N-FST,2704-All-P-MIC,2704-All-P-FST,2704-Ext-N-MIC,2704-Ext-N-FST,2704-Ext-P-MIC,2704-Ext-P-FST
0808: GDP per capita  (current US$) - WDI,2706: Failed States Index Rank - Fund for Peace,1413: Account at a financial institution; male  (% age 15+) - WDI,2715: Human Rights - Fund for Peace,2713: Legitimacy of the State - Fund for Peace,0638: Fixed telephone subscriptions  (per 100 people) - WDI,0736: Agriculture; value added  (% of GDP) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI
0625: Burden of customs procedure; WEF  (1=extremely inefficient to 7=extremely efficient) - WDI,2716: Security Apparatus - Fund for Peace,0808: GDP per capita  (current US$) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,2713: Legitimacy of the State - Fund for Peace,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI
1412: Account at a financial institution  (% age 15+) - WDI,0636: Mobile cellular subscriptions  (per 100 people) - WDI,2706: Failed States Index Rank - Fund for Peace,2706: Failed States Index Rank - Fund for Peace,0379: Electric power consumption  (kWh per capita) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,1167: GDP per person employed  (constant 2011 PPP $) - WDI
1413: Account at a financial institution; male  (% age 15+) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,0835: GNI per capita; PPP  (current international $) - WDI,2716: Security Apparatus - Fund for Peace,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,0379: Electric power consumption  (kWh per capita) - WDI,1895: Mobile-cellular telephone subscriptions - ITU
1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,0638: Fixed telephone subscriptions  (per 100 people) - WDI,1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,0736: Agriculture; value added  (% of GDP) - WDI,1098: Health expenditure per capita  (current US$) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI
2706: Failed States Index Rank - Fund for Peace,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,2717: Factionalized Elites - Fund for Peace,2707: Failed States Index Total - Fund for Peace,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI
0835: GNI per capita; PPP  (current international $) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,0736: Agriculture; value added  (% of GDP) - WDI,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1028: Mortality rate; under-5  (per 1;000 live births) - WDI,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,2709: Refugees and IDPs - Fund for Peace
1030: Mortality rate; under-5; male  (per 1;000 live births) - WDI,1895: Mobile-cellular telephone subscriptions - ITU,1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0835: GNI per capita; PPP  (current international $) - WDI,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI
1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,2713: Legitimacy of the State - Fund for Peace,1895: Mobile-cellular telephone subscriptions - ITU,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,1028: Mortality rate; under-5  (per 1;000 live births) - WDI,2710: Group Grievance - Fund for Peace
0640: Fixed broadband subscriptions  (per 100 people) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,1901: Fixed-broadband subscriptions per 100 inhabitants - ITU,0636: Mobile cellular subscriptions  (per 100 people) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,0380: Energy use  (kg of oil equivalent per capita) - WDI,1286: Life expectancy at birth; total  (years) - WDI,2717: Factionalized Elites - Fund for Peace
2713: Legitimacy of the State - Fund for Peace,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,0640: Fixed broadband subscriptions  (per 100 people) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,1035: Improved water source  (% of population with access) - WDI,0813: GDP per capita; PPP  (current international $) - WDI,1289: Survival to age 65; female  (% of cohort) - WDI,1098: Health expenditure per capita  (current US$) - WDI
1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0379: Electric power consumption  (kWh per capita) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,1286: Life expectancy at birth; total  (years) - WDI,2708: Demographic Pressures - Fund for Peace,1035: Improved water source  (% of population with access) - WDI,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI
0379: Electric power consumption  (kWh per capita) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI
0814: GDP per capita; PPP  (constant 2011 international $) - WDI,1098: Health expenditure per capita  (current US$) - WDI,2707: Failed States Index Total - Fund for Peace,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1056: Risk of impoverishing expenditure for surgical care  (% of people at risk) - WDI,0379: Electric power consumption  (kWh per capita) - WDI,0460: Domestic credit to private sector by banks  (% of GDP) - WDI,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI
0736: Agriculture; value added  (% of GDP) - WDI,2717: Factionalized Elites - Fund for Peace,1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,2709: Refugees and IDPs - Fund for Peace,0952: School enrollment; secondary  (% gross) - WDI,0649: Logistics performance index: Competence and quality of logistics services  (1=low to 5=high) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI,2719: Human Flight - Fund for Peace
0813: GDP per capita; PPP  (current international $) - WDI,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,0813: GDP per capita; PPP  (current international $) - WDI,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0460: Domestic credit to private sector by banks  (% of GDP) - WDI,0492: Domestic credit to private sector  (% of GDP) - WDI,0952: School enrollment; secondary  (% gross) - WDI,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI
1029: Mortality rate; under-5; female  (per 1;000 live births) - WDI,0835: GNI per capita; PPP  (current international $) - WDI,0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,2716: Security Apparatus - Fund for Peace,0460: Domestic credit to private sector by banks  (% of GDP) - WDI,1343: Tariff rate; applied; weighted mean; all products  (%) - WDI,2708: Demographic Pressures - Fund for Peace
0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,1954: Gross national income per capita (PPP int. $) - WHO,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1034: Improved water source; urban  (% of urban population with access) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,2711: Uneven Development - Fund for Peace
2707: Failed States Index Total - Fund for Peace,0380: Energy use  (kg of oil equivalent per capita) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI,1093: Incidence of tuberculosis  (per 100;000 people) - WDI,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,2718: External Intervention - Fund for Peace
1954: Gross national income per capita (PPP int. $) - WHO,0813: GDP per capita; PPP  (current international $) - WDI,0954: School enrollment; secondary; male  (% gross) - WDI,2710: Group Grievance - Fund for Peace,2714: Public Services - Fund for Peace,0642: Secure Internet servers  (per 1 million people) - WDI,2714: Public Services - Fund for Peace,1946: Per capita government expenditure on health (PPP int. $) - WHO
1282: Mortality rate; infant; female  (per 1;000 live births) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,1028: Mortality rate; under-5  (per 1;000 live births) - WDI,2717: Factionalized Elites - Fund for Peace,1033: Improved water source; rural  (% of rural population with access) - WDI,2711: Uneven Development - Fund for Peace,0571: Time to import  (days) - WDI,0380: Energy use  (kg of oil equivalent per capita) - WDI
1028: Mortality rate; under-5  (per 1;000 live births) - WDI,2708: Demographic Pressures - Fund for Peace,1286: Life expectancy at birth; total  (years) - WDI,1098: Health expenditure per capita  (current US$) - WDI,0626: Quality of port infrastructure; WEF  (1=extremely underdeveloped to 7=well developed and efficient by international standards) - WDI,0759: Services; etc.; value added  (% of GDP) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,0379: Electric power consumption  (kWh per capita) - WDI
0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,0953: School enrollment; secondary; female  (% gross) - WDI,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,0647: Logistics performance index: Quality of trade and transport-related infrastructure  (1=low to 5=high) - WDI,0625: Burden of customs procedure; WEF  (1=extremely inefficient to 7=extremely efficient) - WDI,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,0649: Logistics performance index: Competence and quality of logistics services  (1=low to 5=high) - WDI
1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI,0379: Electric power consumption  (kWh per capita) - WDI,1289: Survival to age 65; female  (% of cohort) - WDI,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO,0626: Quality of port infrastructure; WEF  (1=extremely underdeveloped to 7=well developed and efficient by international standards) - WDI,0460: Domestic credit to private sector by banks  (% of GDP) - WDI
1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,0649: Logistics performance index: Competence and quality of logistics services  (1=low to 5=high) - WDI,1035: Improved water source  (% of population with access) - WDI,1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI,0571: Time to import  (days) - WDI,0541: Ease of doing business index  (1=most business-friendly regulations) - WDI,1093: Incidence of tuberculosis  (per 100;000 people) - WDI,0625: Burden of customs procedure; WEF  (1=extremely inefficient to 7=extremely efficient) - WDI
1284: Mortality rate; infant; male  (per 1;000 live births) - WDI,0492: Domestic credit to private sector  (% of GDP) - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,2719: Human Flight - Fund for Peace,1340: Tariff rate; applied; simple mean; all products  (%) - WDI,1955: Per capita total expenditure on health at average exchange rate (US$) - WHO,1340: Tariff rate; applied; simple mean; all products  (%) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI
1035: Improved water source  (% of population with access) - WDI,0460: Domestic credit to private sector by banks  (% of GDP) - WDI,0460: Domestic credit to private sector by banks  (% of GDP) - WDI,0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI,0638: Fixed telephone subscriptions  (per 100 people) - WDI,0388: CO2 emissions  (metric tons per capita) - WDI,0492: Domestic credit to private sector  (% of GDP) - WDI,0954: School enrollment; secondary; male  (% gross) - WDI
1286: Life expectancy at birth; total  (years) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,1283: Mortality rate; infant  (per 1;000 live births) - WDI,2708: Demographic Pressures - Fund for Peace,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,0490: Claims on other sectors of the domestic economy  (% of GDP) - WDI,0642: Secure Internet servers  (per 1 million people) - WDI
0953: School enrollment; secondary; female  (% gross) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI,0952: School enrollment; secondary  (% gross) - WDI,2711: Uneven Development - Fund for Peace,2715: Human Rights - Fund for Peace,1017: Prevalence of anemia among non-pregnant women  (% of women ages 15-49) - WDI,1898: Fixed-telephone subscriptions per 100 inhabitants - ITU,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD
0954: School enrollment; secondary; male  (% gross) - WDI,1971: Per capita total expenditure on health (PPP int. $) - WHO,1029: Mortality rate; under-5; female  (per 1;000 live births) - WDI,2718: External Intervention - Fund for Peace,0650: Logistics performance index: Overall  (1=low to 5=high) - WDI,1015: Prevalence of anemia among women of reproductive age  (% of women ages 15-49) - WDI,1033: Improved water source; rural  (% of rural population with access) - WDI,0353: Agriculture value added per worker  (constant 2005 US$) - WDI
1283: Mortality rate; infant  (per 1;000 live births) - WDI,1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD,1285: Life expectancy at birth; female  (years) - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO,1343: Tariff rate; applied; weighted mean; all products  (%) - WDI,2712: Poverty and Economic Decline - Fund for Peace,1167: GDP per person employed  (constant 2011 PPP $) - WDI,2712: Poverty and Economic Decline - Fund for Peace
1285: Life expectancy at birth; female  (years) - WDI,0642: Secure Internet servers  (per 1 million people) - WDI,1344: Tariff rate; most favored nation; weighted mean; all products  (%) - WDI,0380: Energy use  (kg of oil equivalent per capita) - WDI,0490: Claims on other sectors of the domestic economy  (% of GDP) - WDI,0954: School enrollment; secondary; male  (% gross) - WDI,1034: Improved water source; urban  (% of urban population with access) - WDI,0081: Market capitalization of listed domestic companies  (% of GDP) - WDI
1289: Survival to age 65; female  (% of cohort) - WDI,2711: Uneven Development - Fund for Peace,1343: Tariff rate; applied; weighted mean; all products  (%) - WDI,1986: Per capita government expenditure on health at average exchange rate (US$) - WHO,1051: Lifetime risk of maternal death  (%) - WDI,0736: Agriculture; value added  (% of GDP) - WDI,2716: Security Apparatus - Fund for Peace,1971: Per capita total expenditure on health (PPP int. $) - WHO
1056: Risk of impoverishing expenditure for surgical care  (% of people at risk) - WDI,0759: Services; etc.; value added  (% of GDP) - WDI,0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI,1955: Per capita total expenditure on health at average exchange rate (US$) - WHO,1023: Number of under-five deaths - WDI,1031: Mortality rate; neonatal  (per 1;000 live births) - WDI,2715: Human Rights - Fund for Peace,0388: CO2 emissions  (metric tons per capita) - WDI
0952: School enrollment; secondary  (% gross) - WDI,0625: Burden of customs procedure; WEF  (1=extremely inefficient to 7=extremely efficient) - WDI,0646: Logistics performance index: Efficiency of customs clearance process  (1=low to 5=high) - WDI,1284: Mortality rate; infant; male  (per 1;000 live births) - WDI,1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU,1904: Total density per million population: Radiotherapy units - WHO,1084: Mortality caused by road traffic injury  (per 100;000 people) - WDI,0492: Domestic credit to private sector  (% of GDP) - WDI
0460: Domestic credit to private sector by banks  (% of GDP) - WDI,1946: Per capita government expenditure on health (PPP int. $) - WHO,1282: Mortality rate; infant; female  (per 1;000 live births) - WDI,0379: Electric power consumption  (kWh per capita) - WDI,1021: Number of infant deaths - WDI,2718: External Intervention - Fund for Peace,1338: Bound rate; simple mean; all products  (%) - WDI,0626: Quality of port infrastructure; WEF  (1=extremely underdeveloped to 7=well developed and efficient by international standards) - WDI
